"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000102564","1.0","0000000194","CHEM","This course provides a sequential introduction to physical chemistry. Beginning with an introduction to statistical aspects of chemical equilibria, it explores the relationships between energy, entropy and equilibria (thermodynamics); oxidation-reduction reactions and electrochemistry; transitions between phases; and rates of reactions. Students attend three classes and one three-hour laboratory per week. Offered annually in the spring semester. Prerequisite: CHEM 125, or CHEM 121 and CHEM 123 and MATH 119 or MATH 120 or permission of instructor.","2","2","0","0","0","NSC;NSL;SED","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Chemical Reactions","","126","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'}","False","CHEM 125, or CHEM 121 and CHEM 123 and MATH 119 or MATH 120 or permission of instructor.","","5","O","20145","Energies and Rates of Chemical Reactions","Research","2014"
"0000102565","","0000000195","CHEM","","2","2","0","0","0","","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Chemical Reactions Lab","","126","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'}","False","","","5","O","20145","","Lab","2014"
"0000102566","1.0","0000000197","CHEM","This course is a continuation of CHEM 247 topics. Chemistry 248 delves into the chemistry of functional groups, especially those that play a role in the reactivity of biomolecules such as carbohydrates, lipids, proteins ,and nucleic acids. Together, CHEM 247 and CHEM 248 provide a full treatment of introductory organic chemistry. Offered annually in the spring semester. Counts toward environmental studies major (natural science emphasis). Prerequisite: CHEM 247 or permission of instructor.","32","14","7","3","8","","Everson, Daniel A.","{'fsnum': '26273', 'name': 'Everson, Daniel A.'}","200","48","Organic Chemistry II","","248","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 390', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 390', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 390', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 390', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 390', 'start': '10:00'}","False","CHEM 247 or permission of instructor.","","5","O","20145","","Research","2014"
"0000102567","0.25","0000000200","CHEM","This course is a continuation of CHEM 253. Students gain more experience with techniques used in CHEM 253 and in addition use gas chromatographic/mass spectrometric analyses. Students attend one three-hour laboratory each week. P/N only. Offered annually in the spring semester. Counts toward environmental studies major (natural science emphasis). Prerequisites: CHEM 253 and previous or concurrent registration in CHEM 248.","14","6","3","2","3","","Everson, Daniel A.","{'fsnum': '26273', 'name': 'Everson, Daniel A.'}","200","24","Synthesis Lab II","","254","{'day': 'Mo', 'end': '15:30', 'location': 'RNS 340', 'start': '12:30'};{'day': 'We', 'end': '15:30', 'location': 'RNS 340', 'start': '12:30'}","True","Prerequisites: CHEM 253 and previous or concurrent registration in CHEM 248.","A","5","C","20145","Synthesis Laboratory II","Lab","2014"
"0000103419","0.25","0000000200","CHEM","This course is a continuation of CHEM 253. Students gain more experience with techniques used in CHEM 253 and in addition use gas chromatographic/mass spectrometric analyses. Students attend one three-hour laboratory each week. P/N only. Offered annually in the spring semester. Counts toward environmental studies major (natural science emphasis). Prerequisites: CHEM 253 and previous or concurrent registration in CHEM 248.","17","8","3","1","5","","Ellison, Aubrey","{'fsnum': '27199', 'name': 'Ellison, Aubrey'}","200","24","Synthesis Lab II","","254","{'day': 'Tu', 'end': '15:30', 'location': 'RNS 340', 'start': '12:30'};{'day': 'Th', 'end': '15:30', 'location': 'RNS 340', 'start': '12:30'}","True","Prerequisites: CHEM 253 and previous or concurrent registration in CHEM 248.","B","5","O","20145","Synthesis Laboratory II","Lab","2014"
"0000102640","1.0","0000021392","ENGL","Students explore African literature as it has evolved from oral traditions like folktales and epics into fiction, poetry, and drama in written form. Topics studied might include literature of particular geographical areas, such as East Africa, a genre such as poetry, or the influence of western literature on that of Africa. Authors studied may include Chinua Achebe, J. M. Coetzee, Nadine Gordimer, Arthur Nortje, Wole Soyinka, Ngugi wa Thiong'o, and Alex La Guma. Prerequisite: FYW.","6","0","3","1","2","ALS-L;MCG;MCS-G","Mbele, Joseph L.","{'fsnum': '5144', 'name': 'Mbele, Joseph L.'}","200","","Top: African Literature","","206","{'day': 'Mo', 'end': '14:00', 'location': 'TOH 314', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'TOH 314', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'TOH 314', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'TOH 314', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'TOH 314', 'start': '12:30'}","False","FYW.","","5","O","20145","African Literature","Topic","2014"
"0000103426","0.25","0000000433","ENGL","","1","0","1","0","0","","Wells, Colin","{'fsnum': '8973', 'name': 'Wells, Colin'}","200","","Academic Internship","","294","","True","","","5","O","20145","","Research","2014"
"0000103701","0.25","0000000995","ESAC","P/N only.","1","0","0","0","1","PHA;SPM","Book, Cindy","{'fsnum': '694', 'name': 'Book, Cindy'}","100","1","Individualized ESAC","This is a special offering.","100","","True","False","","5","C","20145","Individualized Exercise Science Activity","Research","2014"
"0000102708","0.5","0000001012","ESAC","Students personally apply the basic principles of exercise through conditioning, strength development, endurance training, and aerobic activities. Students participate in a wide range of assessments designed to enhance physical fitness.","7","0","4","2","1","PHA;SPM","Ludwig, Michael M.","{'fsnum': '11465', 'name': 'Ludwig, Michael M.'}","100","","Individual Fitness .50","","133","{'day': 'Mo', 'end': '16:00', 'location': 'SAC Wt Rm', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'SAC Wt Rm', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'SAC Wt Rm', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'SAC Wt Rm', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'SAC Wt Rm', 'start': '14:30'}","False","False","","5","O","20145","Individual Fitness","Research","2014"
"0000103692","1.0","0000027057","ID","This interdisciplinary, topics-based course explores contemporary issues in science with emphasis on developing students' understanding of scientific and quantitiative approaches to problem solving. Specific topics, ranging from environmental chemistry and public health to biomechanics and genetics, vary from year to year. Students attend nine hours of lectures or small group discussion sections, two to three hours of quantitative workshops, and four hours of laboratory per week. Does not count toward any major. The course is taught with WRIT 109. Prerequisite: acceptance into the Summer Bridge Program. Offered annually during the summer.","42","0","0","0","42","IST;SED","Umbanhowar, Charles Jr.;Walczak, Mary","{'fsnum': '8616', 'name': 'Umbanhowar, Charles Jr.'};{'fsnum': '8868', 'name': 'Walczak, Mary'}","100","","Explorations in Science","Course takes place from August 1 - 28.","150","{'day': 'Mo', 'end': '10:30', 'location': 'TOH 210', 'start': '08:30'};{'day': 'Tu', 'end': '10:30', 'location': 'TOH 210', 'start': '08:30'};{'day': 'We', 'end': '10:30', 'location': 'TOH 210', 'start': '08:30'};{'day': 'Th', 'end': '10:30', 'location': 'TOH 210', 'start': '08:30'};{'day': 'Fr', 'end': '10:30', 'location': 'TOH 210', 'start': '08:30'}","False","acceptance into the Summer Bridge Program. Offered annually during the summer.","","5","C","20145","","Research","2014"
