"clbid","credits","crsid","department","description","enrolled","firstyear","groupid","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000049843","0.25","0000016220","HIST","","1","","","","","Robert Entenmann","","S","200","10","FLC - Chinese","","250","","False","False","","1","","","O","20061","","FLAC","2006"
"0000049846","1.0","0000001176","PSYCH","When and why should certain experiences or patterns of behavior be considered psychologically abnormal? Students will investigate a wide array of psychological disorders, including anxiety disorders, depression, eating disorders and schizophrenia. We will examine models used to conceptualize abnormal behavior, as well as current evidence and theories regarding the etiology and treatment of these important and sometimes devastating disorders. Not open to first-year students. Prerequisite: Psychology 125. Offered each semester.","25","","","","","Jumi Hayaki","","S","200","30","Psychopathology","(was formerly Abnormal Psychology)","264","{'day': 'Mo', 'end': '12:45', 'location': 'HH 307', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'HH 307', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'HH 307', 'start': '11:50'}","False","Psychology 125. Offered each semester.","A","1","","","C","20061","","Research","2006"
"0000049847","1.0","0000001176","PSYCH","When and why should certain experiences or patterns of behavior be considered psychologically abnormal? Students will investigate a wide array of psychological disorders, including anxiety disorders, depression, eating disorders and schizophrenia. We will examine models used to conceptualize abnormal behavior, as well as current evidence and theories regarding the etiology and treatment of these important and sometimes devastating disorders. Not open to first-year students. Prerequisite: Psychology 125. Offered each semester.","29","","","","","Jumi Hayaki","","S","200","30","Psychopathology","(was formerly Abnormal Psychology)","264","{'day': 'Mo', 'end': '13:50', 'location': 'HH 307', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'HH 307', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'HH 307', 'start': '12:55'}","False","Psychology 125. Offered each semester.","B","1","","","C","20061","","Research","2006"
"0000049848","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations on these sets. In an axiomatic or abstract treatment one assumes basic properties and then deduces many other properties. Using this method we study structures known as groups, rings and fields. Prerequisite: Mathematics 220. Offered both semesters.","8","","","","","Joshua D. Laison","","S","200","30","Abstract Algebra I","","252","{'day': 'Mo', 'end': '10:00', 'location': 'SC 274', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 274', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 274', 'start': '09:05'}","False","Mathematics 220. Offered both semesters.","A","1","","","O","20061","","Research","2006"
"0000049849","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations on these sets. In an axiomatic or abstract treatment one assumes basic properties and then deduces many other properties. Using this method we study structures known as groups, rings and fields. Prerequisite: Mathematics 220. Offered both semesters.","21","","","","","Kay E. Smith","","S","200","30","Abstract Algebra I","","252","{'day': 'Mo', 'end': '13:50', 'location': 'SC 188', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'SC 188', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'SC 188', 'start': '12:55'}","False","Mathematics 220. Offered both semesters.","B","1","","","O","20061","","Research","2006"
"0000049850","1.0","0000000011","AMST","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","O","20061","Internship","Research","2006"
"0000049851","1.0","0000000014","AMST","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","O","20061","Internship","Research","2006"
"0000049852","1.0","0000000068","ART","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","O","20061","","Research","2006"
"0000049853","1.0","0000000073","ART","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","O","20061","","Research","2006"
"0000049854","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor and complete an internship application.","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","O","20061","Internship","Research","2006"
"0000049855","1.0","0000000174","BIO","Biology 394 is for students who have completed one internship (Biology 294) and wish to perform a second internship. Students interested in an internship should consult with the Center for Experiential Learning, locate a faculty sponsor and complete an internship form.","1","","","","","Eugene Bakko","","S","300","999","Academic Internship","","394","","True","False","","1","","","O","20061","Internship","Research","2006"
"0000049856","1.0","0000000204","CHEM","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","O","20061","Internship","Research","2006"
"0000049857","1.0","0000000204","CHEM","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","A","1","","","O","20061","Internship","Research","2006"
"0000049858","1.0","0000000222","CHEM","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","O","20061","Internship","Research","2006"
"0000049859","1.0","0000000233","CLASS","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","O","20061","","Research","2006"
"0000049860","1.0","0000000235","CLASS","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","O","20061","","Research","2006"
"0000049861","1.0","0000000248","CHIN","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","O","20061","","Research","2006"
"0000049862","1.0","0000000251","CHIN","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","O","20061","","Research","2006"
"0000049863","1.0","0000000276","ECON","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","O","20061","","Research","2006"
