"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000075125","1.0","0000020055","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of new media art-making and ways new media inform the creation and understanding of art in cultural contexts. Students explore the form and space of new media images through a wide variety of materials and media. The course emphasizes strategies for idea generation. Students engage in dynamic activity, spirited investigation, and thoughtful creative expression. Materials fee. Offered each semester.","0","0","0","0","0","ALS-A","Alvarez, Guido","{'fsnum': '21134', 'name': 'Alvarez, Guido'}","100","","Foundation New Media","104","{'day': 'Mo', 'end': '11:30', 'location': 'CAD 100', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'CAD 100', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'CAD 100', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'CAD 100', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'CAD 100', 'start': '10:00'}","False","False","","5","X","20095","","Research","2009"
"0000076170","1.0","0000000069","ART","Independent Study in Studio Art prerequisites: four foundation courses and two upper-division courses in area of study.;Independent Study in Art History prerequisites: two upper-division courses in area of study.","1","0","1","0","0","","Alvarez, Guido","{'fsnum': '21134', 'name': 'Alvarez, Guido'}","200","","IS/Digital Media/Sculpt","298","","False","False","A","5","O","20095","Independent Study","Research","2009"
"0000076111","1.0","0000000075","ART","Independent Research in Studio Art prerequisites: four foundation courses and three courses in area of study.;Independent Research in Art History prerequisites: three courses in area of study.","1","0","0","0","1","","Thompson, Nancy M.","{'fsnum': '13137', 'name': 'Thompson, Nancy M.'}","300","","IR/Quilts as Art","398","","False","False","","5","O","20095","Independent Research: Art History","Research","2009"
"0000075904","0.5","0000000093","ASIAN","","2","0","0","2","0","","Wan, Pin Pin","{'fsnum': '8890', 'name': 'Wan, Pin Pin'}","200","","Academic Internship","294","","True","","","5","O","20095","","Research","2009"
"0000075906","0.5","0000000093","ASIAN","","1","0","0","1","0","","Chen, Luying;Williamson, Thomas A.","{'fsnum': '19296', 'name': 'Chen, Luying'};{'fsnum': '14223', 'name': 'Williamson, Thomas A.'}","200","","Academic Internship","294","","True","","A","5","O","20095","","Research","2009"
"0000075907","0.5","0000000093","ASIAN","","1","0","1","0","0","","Chen, Luying","{'fsnum': '19296', 'name': 'Chen, Luying'}","200","","Academic Internship","294","","True","","B","5","O","20095","","Research","2009"
"0000075916","0.5","0000000093","ASIAN","","2","0","0","2","0","","Ito, Rika","{'fsnum': '14203', 'name': 'Ito, Rika'}","200","","Academic Internship","294","","True","","C","5","O","20095","","Research","2009"
"0000075814","1.0","0000000100","BIO","Contemporary biological issues related to health and the environment are explored, with the goal of fostering informed citizens prepared for current biological debates. Students learn the relevant biological principles in lecture and lab followed by appropriate lab or field research. Specific topics vary from year to year and may include emerging diseases, cardiovascular health, genetics, specific groups of organisms, behavior, and environmental dynamics. The course includes lectures plus one 2-hour laboratory per week.","40","0","0","0","40","IST;NSC;NSL;SED","Umbanhowar, Charles Jr.;McDonald, Eric","{'fsnum': '8616', 'name': 'Umbanhowar, Charles Jr.'};{'fsnum': '18464', 'name': 'McDonald, Eric'}","100","","Biological Science","121","","False","False","","5","C","20095","Biological Science: Issues in Biology","Research","2009"
"0000075815","","0000000101","BIO","","40","0","0","0","40","","Umbanhowar, Charles Jr.;McDonald, Eric","{'fsnum': '8616', 'name': 'Umbanhowar, Charles Jr.'};{'fsnum': '18464', 'name': 'McDonald, Eric'}","100","","Biological Science Lab","121","","False","","","5","C","20095","","Lab","2009"
"0000075905","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor, and complete an internship application. Internships do not count toward the biology major requirements.","1","0","1","0","0","","Kermott, Louis Henry","{'fsnum': '4284', 'name': 'Kermott, Louis Henry'}","200","","Academic Internship","294","","True","False","","5","O","20095","Internship","Research","2009"
