"clbid","credits","crsid","department","description","enrolled","firstyear","groupid","grouptype","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000106301","1.0","0000000190","CHEM","Students study contemporary questions concerning the environment from the fundamental properties of matter to human impact on natural processes, including damage to and protection of the environment. Students discover how chemistry intersects with everyday living, especially the abilities and limitations of science to address environmental issues. Laboratory work explores the characteristics and analysis of hazardous and beneficial materials. Counts toward environmental studies major (arts and humanities and social science emphases) and concentration; does not count toward chemistry major. Offered during Interim.","32","","0000000190","","Paul T. Jackson","","S","100","32","A Matter of Environ","Students in Chemistry 124 must also register for lab Chemistry 124 L.","124","{'day': 'Mo', 'end': '10:00', 'location': 'RNS 410', 'start': '08:00'};{'day': 'Tu', 'end': '10:00', 'location': 'RNS 410', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'RNS 410', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'RNS 410', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'RNS 410', 'start': '08:00'}","False","False","","2","","","C","20162","A Matter of the Environment with Lab","Research","2016"
"0000106302","0.0","0000000191","CHEM","","32","","0000000190","","Adam Dittmer","","S","100","32","A Matter of Environ Lab","","124","{'day': 'Tu', 'end': '15:30', 'location': 'RNS 350', 'start': '12:30'};{'day': 'We', 'end': '15:30', 'location': 'RNS 350', 'start': '12:30'};{'day': 'Th', 'end': '15:30', 'location': 'RNS 350', 'start': '12:30'}","False","False","","2","","","C","20162","","Lab","2016"
"0000106303","1.0","0000000011","AMST","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106304","1.0","0000000068","ART","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106305","1.0","0000000073","ART","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106306","1.0","0000000093","ASIAN","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106307","1.0","0000000096","ASIAN","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106308","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","","","","Jean C. Porterfield","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106309","1.0","0000000174","BIO","Biology 394 is for students who have completed one internship (BIO 294) and wish to complete a second internship. Students interested in an internship should consult with the Piper Center for Vocation and Career, locate a faculty supervisor, and complete an internship form. Internships do not count toward the biology major requirements.","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106310","1.0","0000000204","CHEM","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106311","1.0","0000000222","CHEM","","1","","","","Dipannita Kalyani","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106312","1.0","0000000233","CLASS","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106313","1.0","0000000235","CLASS","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106314","1.0","0000000248","CHIN","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106315","1.0","0000000251","CHIN","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106316","1.0","0000000276","ECON","","1","","","","Sian E. Christie","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106317","1.0","0000000284","ECON","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106318","1.0","0000000299","CSCI","This is an intermediate-level version of CSCI 394.","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106319","1.0","0000000306","CSCI","Students gain experience in computer-industry positions. Recent projects have included contributions to team programming, documentation, business applications of computing, modifications of large proprietary code bases using industry-standard software frameworks, test-driven development, creating mobile-computing interfaces for existing software systems, and improving security of company websites. Internship experiences (whether for credit or not) are strongly encouraged for anyone considering a career in computing.","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106320","1.0","0000000313","EDUC","","1","","","","Ryota Matsuura","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106321","1.0","0000000344","EDUC","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106322","1.0","0000000374","DANCE","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","Internship","Research","2016"
"0000106323","1.0","0000000377","DANCE","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106324","1.0","0000000433","ENGL","","1","","","","Rebecca S. Richards","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106325","1.0","0000000449","ENGL","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106326","1.0","0000000464","ENVST","","1","","","","Diane K. Angell","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106327","1.0","0000000466","ENVST","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106328","1.0","0000000490","FREN","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106329","1.0","0000000494","FREN","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106330","1.0","0000000522","GERM","Students spend four weeks during Interim or summer in an individually selected German or Austrian workplace. Opportunities include work in health care, communications, and manufacturing as well as non-profit organizations, libraries, businesses, laboratories, offices, and churches. Assignment of position varies with availability in host institutions. Maybe counted toward German major or German studies concentration. Prerequisite: at least one 250-level course.","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","at least one 250-level course.","","2","","","C","20162","","Research","2016"
"0000106331","1.0","0000000529","GERM","Students spend four weeks during Interim or summer in the German or Austrian workplace. Opportunities include working in health care, communications, and manufacturing as well as non-profit organizations, libraries, businesses, laboratories, offices, and churches. Assignment of position varies with availability of host institutions. May be counted toward German major or German studies concentration. Prerequisite: at least one 270-level course.","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","at least one 270-level course.","","2","","","C","20162","","Research","2016"
"0000106332","1.0","0000000543","GREEK","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106333","1.0","0000000550","GREEK","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","Academic Inernship","Research","2016"
"0000106334","1.0","0000000624","HIST","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106335","1.0","0000000640","HIST","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106336","1.0","0000000653","FAMST","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106337","1.0","0000000656","FAMST","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106338","1.0","0000000686","IS","","1","","","","Abdulai Iddrisu","","S","200","999","Academic Internship","","294","","True","False","","2","","","O","20162","","Research","2016"
"0000106339","1.0","0000000691","IS","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","O","20162","","Research","2016"
"0000106340","1.0","0000000707","ID","","3","","","","Kevin M. Crisp","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106341","1.0","0000000709","ID","","1","","","","James Hanson","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106342","1.0","0000000716","LATIN","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106343","1.0","0000000725","LATIN","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106344","1.0","0000000751","MATH","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106345","1.0","0000000784","MGMT","","1","","","","Richard Goedde","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106346","1.0","0000000788","MGMT","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106347","1.0","0000000795","MEDIA","","1","","","","Bill Sonnega","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106348","1.0","0000000797","MEDIA","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106349","1.0","0000000846","MUSIC","","1","","","","Catherine R. Rodland","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106350","1.0","0000000865","MUSIC","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106351","1.0","0000000917","NEURO","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106352","1.0","0000000919","NEURO","","1","","","","Jeremy Loebach","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
"0000106353","1.0","0000000931","NORW","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20162","","Research","2016"
"0000106354","1.0","0000000936","NORW","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20162","","Research","2016"
