"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000149762","1.0","0000018613","AFAD","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","0","","","","","IS/","An Independent Study form is required by the last day to add in order to be     ;officially registered for an Independent Study.","298","","False","","","1","C","20231","Independent Study","Research","2023"
"0000149802","1.0","0000032354","AMCON","The dynamic, multidimensional character of American culture originates in the journeys and encounters of groups defined by race/ethnicity and factors such as gender, religion, sexual orientation, and social class. As they respond to opportunities, challenges, and conflicts, groups construct meaning and produce art and literature. Using the tools of social science and artistic and literary studies, students examine resulting changes and how institutions, ideas, and policies shape (and are shaped by) these processes. Offered annually in the fall semester. Prerequisites: AMCON 110 and AMCON 111.","12","0","0","12","0","ALS-L;MCD;ORC;PAR","Medina-Vilariño, Kristina","{'fsnum': '23607', 'name': 'Medina-Vilariño, Kristina'}","200","17","0","0","","0","Journeys and Encounters","This course includes an academic civic engagement (ACE) component.              ;Open only to American Conversation students.","210","{'day': 'Mo', 'end': '12:45', 'location': 'TOH 300', 'start': '23:50'};{'day': 'We', 'end': '12:45', 'location': 'TOH 300', 'start': '23:50'};{'day': 'Fr', 'end': '12:45', 'location': 'TOH 300', 'start': '23:50'}","False","Prerequisites: AMCON 110 and AMCON 111.","","1","C","20231","","Research","2023"
"0000149389","1.0","0000020054","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of two-dimensional art-making and the ways drawing informs the creation and understanding of art in cultural contexts. Students explore color, value, form, and space through a wide variety of materials. The course emphasizes strategies for idea generation and visual problem solving. Students engage in spirited investigation, critiques, and thoughtful creative expression. Materials fee. Offered each semester.","19","9","1","4","5","ALS-A;CRE","Saurer, John","{'fsnum': '7064', 'name': 'Saurer, John'}","100","20","","","","","Foundation 2-D Media","The materials fee for ART 102A will be $135.","102","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 216', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 216', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 216', 'start': '08:00'}","False","False","A","1","C","20231","Foundation Two-Dimensional Media","Research","2023"
"0000149390","1.0","0000020054","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of two-dimensional art-making and the ways drawing informs the creation and understanding of art in cultural contexts. Students explore color, value, form, and space through a wide variety of materials. The course emphasizes strategies for idea generation and visual problem solving. Students engage in spirited investigation, critiques, and thoughtful creative expression. Materials fee. Offered each semester.","20","9","4","4","3","ALS-A;CRE","Saurer, John","{'fsnum': '7064', 'name': 'Saurer, John'}","100","20","","","","","Foundation 2-D Media","The materials fee for ART 102B will be $135.","102","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 216', 'start': '22:45'};{'day': 'We', 'end': '12:45', 'location': 'CAD 216', 'start': '22:45'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 216', 'start': '22:45'}","False","False","B","1","C","20231","Foundation Two-Dimensional Media","Research","2023"
"0000149391","1.0","0000020054","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of two-dimensional art-making and the ways drawing informs the creation and understanding of art in cultural contexts. Students explore color, value, form, and space through a wide variety of materials. The course emphasizes strategies for idea generation and visual problem solving. Students engage in spirited investigation, critiques, and thoughtful creative expression. Materials fee. Offered each semester.","19","6","4","6","3","ALS-A;CRE","Weeks, Michon","{'fsnum': '23761', 'name': 'Weeks, Michon'}","100","20","","","","","Foundation 2-D Media","The materials fee for ART 102C will be $135.","102","{'day': 'Mo', 'end': '14:55', 'location': 'CAD 216', 'start': '12:55'};{'day': 'We', 'end': '14:55', 'location': 'CAD 216', 'start': '12:55'};{'day': 'Fr', 'end': '14:55', 'location': 'CAD 216', 'start': '12:55'}","False","False","C","1","O","20231","Foundation Two-Dimensional Media","Research","2023"
"0000153631","1.0","0000020056","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of three-dimensional art-making and the ways three-dimensional media inform the creation and understanding of art in many contexts. Students explore sculpture and its intersection with other media and art forms through a variety of materials and experiments. The course emphasizes idea generation. Students engage in spirited investigation, creative expression, and play. Materials fee. Offered each semester.","15","6","1","6","2","ALS-A;CRE","Amada, Mayumi","{'fsnum': '35091', 'name': 'Amada, Mayumi'}","100","16","","","","","Foundation 3-D Media","The materials fee for ART 103 will be $150.","103","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 106', 'start': '08:00'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 106', 'start': '08:00'}","False","False","","1","O","20231","Foundation Three-Dimensional Media","Research","2023"
"0000149386","1.0","0000020055","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of new media artmaking. Students explore creative approaches to digital, time-based, and interactive art processes; examples include digital photomontage, 3D printing, video art, and web-based art. Idea generation and development is central to the course, with an emphasis on experimentation and divergent thinking. Students engage in dynamic activity, spirited investigation, and thoughtful creative expression. Offered each semester. Also counts toward film and media studies major and concentration. Materials fee.","16","6","5","2","3","ALS-A;CRE","Nelson, Peter B.","{'fsnum': '13653', 'name': 'Nelson, Peter B.'}","100","16","","","","","Foundation New Media","","104","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 116', 'start': '08:00'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 116', 'start': '08:00'}","False","False","A","1","C","20231","","Research","2023"
"0000153169","1.0","0000020055","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of new media artmaking. Students explore creative approaches to digital, time-based, and interactive art processes; examples include digital photomontage, 3D printing, video art, and web-based art. Idea generation and development is central to the course, with an emphasis on experimentation and divergent thinking. Students engage in dynamic activity, spirited investigation, and thoughtful creative expression. Offered each semester. Also counts toward film and media studies major and concentration. Materials fee.","16","3","5","6","2","ALS-A;CRE","Nelson, Peter B.","{'fsnum': '13653', 'name': 'Nelson, Peter B.'}","100","16","","","","","Foundation New Media","","104","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 116', 'start': '23:45'};{'day': 'Th', 'end': '15:45', 'location': 'CAD 116', 'start': '12:45'}","False","False","B","1","C","20231","","Research","2023"
"0000149593","1.0","0000027940","ART","This course introduces students to the working methods of Art History. Students learn to analyze works of art visually, to understand the relationships between works of art and their cultural contexts, to consider the practices and politics of museum display, and to think critically about the role of art in their own lives and in society. Offered each semester.","50","12","10","17","11","ALS-A;GHS;ORC","Ryan, Hannah","{'fsnum': '31158', 'name': 'Ryan, Hannah'}","100","50","","","","","Intro to Art History","","153","{'day': 'Mo', 'end': '11:40', 'location': 'CAD 305', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'CAD 305', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'CAD 305', 'start': '10:45'}","False","False","A","1","C","20231","Introduction to Art History","Research","2023"
"0000149592","1.0","0000027940","ART","This course introduces students to the working methods of Art History. Students learn to analyze works of art visually, to understand the relationships between works of art and their cultural contexts, to consider the practices and politics of museum display, and to think critically about the role of art in their own lives and in society. Offered each semester.","50","18","8","13","11","ALS-A;GHS;ORC","Ryan, Hannah","{'fsnum': '31158', 'name': 'Ryan, Hannah'}","100","50","","","","","Intro to Art History","","153","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 305', 'start': '23:50'};{'day': 'We', 'end': '12:45', 'location': 'CAD 305', 'start': '23:50'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 305', 'start': '23:50'}","False","False","B","1","C","20231","Introduction to Art History","Research","2023"
"0000149895","1.0","0000000029","ART","This course introduces students to photographic processes as a means for creating works of art. Students learn terminology and critical approaches to photography. The course includes presentations on concepts and photographers' works, discussions of articles, and regular critiques. Students are introduced to the history of the medium through presentations and readings. Students develop critical skills and the ability to analyze and interpret photographic work. Materials fee. Offered each semester. Also counts toward management studies concentration.","15","1","6","4","4","ALS-A;CRE","Christian, D'Angelo M.","{'fsnum': '33022', 'name': ""Christian, D'Angelo M.""}","200","16","","","","","Photography","The materials fee for ART 205 will be $180.","205","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 122', 'start': '08:00'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 122', 'start': '08:00'}","False","False","A","1","O","20231","","Research","2023"
"0000149896","1.0","0000000029","ART","This course introduces students to photographic processes as a means for creating works of art. Students learn terminology and critical approaches to photography. The course includes presentations on concepts and photographers' works, discussions of articles, and regular critiques. Students are introduced to the history of the medium through presentations and readings. Students develop critical skills and the ability to analyze and interpret photographic work. Materials fee. Offered each semester. Also counts toward management studies concentration.","15","1","4","7","3","ALS-A;CRE","Christian, D'Angelo M.","{'fsnum': '33022', 'name': ""Christian, D'Angelo M.""}","200","16","","","","","Photography","Material fee for this class is $180.","205","{'day': 'Tu', 'end': '14:45', 'location': 'CAD 122', 'start': '23:45'};{'day': 'Th', 'end': '15:45', 'location': 'CAD 122', 'start': '12:45'}","False","False","B","1","O","20231","","Research","2023"
"0000149253","1.0","0000001496","ART","This course introduces students to the ceramic processes of wheel throwing and hand building as means for creating works of art. Students learn terminology and critical approaches to ceramics. Students develop critical skills and the ability to analyze and interpret ceramic art work. The course emphasizes creative approaches to solving visual problems through ceramic work. Slide presentations on contemporary and historical ceramics provide background for assignments and highlight the role of ceramics in various cultural contexts. Materials fee. Offered each semester. Also counts toward management studies concentration.","15","3","4","5","3","ALS-A;CRE","Leonard, Courtney M.","{'fsnum': '32103', 'name': 'Leonard, Courtney M.'}","200","16","","","","","Ceramics","The materials fee for ART 207A will be $185.","207","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 115', 'start': '08:00'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 115', 'start': '08:00'}","False","False","","1","O","20231","","Research","2023"
