"clbid","credits","crsid","department","description","enrolled","groupid","instructors","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000059014","1.0","0000000406","ENGL","Students read and discuss children's literature from a variety of cultures and time periods. Beginning with world folklore and children's classics as background, students explore an array of picture books, poetry, fiction and nonfiction that exemplifies the best in fantasy, science fiction and realism for children and young adults. Special emphasis is given to two relatively new subgenres: multicultural literature and the contemporary problem novel. For more information on this course please refer to: http://www.stolaf.edu/depts/english/courses/index.html","11","","Jan C. Hill","S","200","999","Children's Literature","","233","{'day': 'Mo', 'end': '16:00', 'location': 'RML 515', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'RML 515', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'RML 515', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'RML 515', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'RML 515', 'start': '14:30'}","False","False","","4","C","20064","Children's and Young Adult Literature","Research","2006"
"0000059015","1.0","0000000418","ENGL","This course provides students with the opportunity to gather insights and develop skills in the writing of creative prose, poetry and/or drama. Literary selections are often used as models and discussions of craft set the stage for the workshopping of student writing. For more information on this course please refer to: http://www.stolaf.edu/depts/english/courses/index.html","6","","Eliot K. Wilson","S","200","999","Creat Wrtg: Fict/Poet","","257","{'day': 'Mo', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RML 515', 'start': '12:30'}","False","False","","4","O","20064","Creative Writing I","Research","2006"
"0000059019","1.0","0000000429","ENGL","Summer Session I, 2006 - In this course we'll read recently published novels from around the world that have compelling plots as well as those important philosophical, psychological, spitrual, and familial questions that face humans no matter where they live. Writers include Jonathan Lethem, Arundhati Roy, Barbara Kingsolver, Jhumpa Lahiri, Sue Miller, Nick Hornby, Zadie Smith, and Jonathan Safran Foer. ---------------------------------------------------------------------------------------------------- FALL 2007 - Students explore various forms of prose, including fiction and creative nonfiction. Each instructor selects different material to be studied and emphasizes various aspects of the form. Topics can range from the 18th-century novel to African American autobiography. ---------------------------------------------------------------------------------------------------- May be repeated if topics are different.","7","","Mark Allister","S","200","999","Top: Serious Beach Read","","283","{'day': 'Mo', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 515', 'start': '10:00'}","False","False","","4","O","20064","Studies in Prose","Topic","2006"
"0000059022","1.0","0000000697","ID","An interdisciplinary approach to war and peace, this course incorporates the dual perspective of philosophy and history. Students study various ethical arguments as shaped in different cultures. Examples are drawn from ancient Athens, medieval Christendom, Asia, Islam, and the modern West; ethical topics include: pacifism, utilitarianism, divine command ethics, natural law theory, feminism, and cultural relativism. The course begins with warfare as treated in the Bible and concludes with nuclear terrorism.","10","","Edmund Santurri","S","200","999","War and Peace","Pre-requisite: Completion of BTS-T or permission of instructor.","238","{'day': 'Mo', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RML 420', 'start': '10:00'}","False","False","","4","O","20064","","Research","2006"
"0000059023","1.0","0000001289","SOAN","This course helps students explore the connections between society and their own lives. Students answer challenging questions such as ""Do we have a 'human nature'?,"" ""Why does social inequality exist?,"" ""What is race?,"" and ""How do societies change?"" In answering these questions students learn to develop a sociological imagination. In doing so they review the various research methods and theories that form the sociological tradition.","6","","Ryan R. Sheppard","S","100","999","Intro to Sociology","","121","{'day': 'Mo', 'end': '09:30', 'location': 'HH 403', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'HH 403', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'HH 403', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'HH 403', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'HH 403', 'start': '08:00'}","False","False","","4","O","20064","Introduction to Sociology","Research","2006"
"0000059025","1.0","0000000031","ART","This introduction to art history examines select artistic traditions among ancient and medieval cultures of Asia and Europe. Through lectures, discussions, and presentations, students develop skills in visual analysis and interpretation, as well as a broad historical exposure to a variety of major historical periods. The course considers a variety of artistic media, including painting, sculpture, and architecture, in addition to broader issues of aesthetics, function, and patronage. Offered annually.","7","","Christine O'Malley","S","100","999","Intro/Art History I","","150","{'day': 'Mo', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'CAD 204', 'start': '10:00'}","False","False","","4","O","20064","Introduction to Art History I","Research","2006"
"0000059026","1.0","0000000371","DANCE","Students trace and integrate the African-American and Euro-American dance traditions of the late 19th and 20th centuries and early 21st century, paying attention to their similarities and differences. The focus is on the theatrical dance genres of: ballet, modern and musical theater dance. Students also examine social dance as the predecessor of some theatrical dance genres. At the same time, the course attends to the economic, religious and social forces which have affected the development of dance in America. Extensive video examples supplement reading, writing and discussion. Attendance at appropriate concerts is required.","7","","Heather J. Klopchin","S","200","999","Dance in America","","246","{'day': 'Mo', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CAD 204', 'start': '12:30'}","False","False","","4","O","20064","","Research","2006"
"0000059027","1.0","0000000673","IS","Sports are more than exercise and entertainment -- they can be understood as social phenomena, related to the social and cultural contexts in which we live. Sports provide stories and images used to explain and evaluate these contexts and provide a window into culture and society. This seminar considers ways in which sports may be understood as social constructs: Who plays sports, what happens to them, and why? Do money and power matter in sports? If so, how? How does ""playing games"" become formalized, institutionalized? What is the role of media in sports? Or religion? Or government? Students will discuss and produce position papers on various issues relating to sports in society.","5","","Shahram Ahrar","S","200","999","Top: Sport in Society","","202","{'day': 'Mo', 'end': '14:00', 'location': 'SAC 112', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'SAC 112', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'SAC 112', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'SAC 112', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'SAC 112', 'start': '12:30'}","False","False","","4","O","20064","Top: Sports in Society","Topic","2006"
"0000059028","0.5","0000001012","PEAC","Students personally apply the basic principles of exercise through conditioning, strength development, endurance training, and aerobic activities. Students participate in a wide range of assessments designed to enhance physical fitness.","8","","Christine Daymont","S","100","10","Individual Fitness.50","","133","{'day': 'Mo', 'end': '19:45', 'location': 'SAC 112', 'start': '18:45'};{'day': 'Tu', 'end': '19:45', 'location': 'SAC 112', 'start': '18:45'};{'day': 'We', 'end': '19:45', 'location': 'SAC 112', 'start': '18:45'};{'day': 'Th', 'end': '19:45', 'location': 'SAC 112', 'start': '18:45'};{'day': 'Fr', 'end': '19:45', 'location': 'SAC 112', 'start': '18:45'}","False","False","","4","O","20064","Individual Fitness","Research","2006"
"0000059029","0.5","0000001016","PEAC","Students learn the principles, techniques and safety aspects of weight-training and implement a personal training plan. Students participate in a wide range of assessments (strength, power, endurance, nutrition, flexibility, body composition, stress).","5","","Christine Daymont","S","100","10","Wt Training Co-Ed .50","","140","{'day': 'Mo', 'end': '19:45', 'location': 'SAC 112', 'start': '18:45'};{'day': 'Tu', 'end': '19:45', 'location': 'SAC 112', 'start': '18:45'};{'day': 'We', 'end': '19:45', 'location': 'SAC 112', 'start': '18:45'};{'day': 'Th', 'end': '19:45', 'location': 'SAC 112', 'start': '18:45'};{'day': 'Fr', 'end': '19:45', 'location': 'SAC 112', 'start': '18:45'}","False","False","","4","O","20064","Weight Training","Research","2006"
