"clbid","credits","crsid","department","description","enrolled","firstyear","gereqs","groupid","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000162385","0.25","0000040324","GERM","","2","","","","","","Yann Chen","","S","200","10","LAC - German","Meeting time will be decided based on availability of the registered students.;Prerequisite: Completion of GERM 231 or equivalent experience. This course;cannot be wish listed. Add it after registering for GERM 247 (main course).","247","","False","Completion of GERM 231 or equivalent experience. This course","","1","","","O","20251","","FLAC","2025"
"0000162389","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations that satisfy a few basic properties. Using the properties we study axiomatic systems such as groups, rings, and fields, covering topics such as homomorphisms, cosets, quotient structures, polynomial rings, and finite fields. Emphasis is on theory and on developing the ability to write proofs. Offered each semester. Prerequisite: MATH 220. Permission of instructor required for first-year students.","12","","WAC","","","","Rachael Norton","","S","200","16","Abstract Algebra I","Open to first-year students with permission of department director.","252","{'day': 'Fr', 'end': '14:55', 'location': 'RNS 208', 'start': '14:00'};{'day': 'Mo', 'end': '14:55', 'location': 'RNS 208', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'RNS 208', 'start': '14:00'}","False","MATH 220. Permission of instructor required for first-year students.","B","1","","","O","20251","","Research","2025"
"0000162390","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations that satisfy a few basic properties. Using the properties we study axiomatic systems such as groups, rings, and fields, covering topics such as homomorphisms, cosets, quotient structures, polynomial rings, and finite fields. Emphasis is on theory and on developing the ability to write proofs. Offered each semester. Prerequisite: MATH 220. Permission of instructor required for first-year students.","13","","WAC","","","","Adam H. Berliner","","S","200","16","Abstract Algebra I","Open to first-year students with permission of department director.","252","{'day': 'Mo', 'end': '10:00', 'location': 'RNS 206', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'RNS 206', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'RNS 206', 'start': '09:05'}","False","MATH 220. Permission of instructor required for first-year students.","A","1","","","O","20251","","Research","2025"
"0000162493","1.0","0000001411","SDS","This course extends and generalizes methods introduced in STAT 272 by introducing generalized linear models (GLMs) and correlated data methods. GLMs cover logistic and Poisson regression, and more. Correlated data methods include longitudinal data analysis and multi level models. Applications are drawn from across the disciplines. Offered annually. Also counts toward neuroscience concentration. Prerequisite: SDS 272.","17","0/0","","","","","Paul J. Roback","","S","300","24","Adv Statistical Model","","316","{'day': 'Mo', 'end': '11:40', 'location': 'RNS 160R', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'RNS 160R', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'RNS 160R', 'start': '10:45'}","False","SDS 272.","","1","","0/0","O","20251","Advanced Statistical Modeling","Research","2025"
"0000162494","0.5","0000000858","MUSIC","Working with a live instrumental or choral ensemble, students learn and conduct complete movements and/or entire works and encounter a variety of advanced baton techniques. Course activities develop skills in reading, preparing, interpreting and memorizing scores, with further focus on rehearsal procedures, performance practice, and concert programming. Participants are required to observe a variety of rehearsals on- and off-campus. Offered annually in the fall semester. Prerequisites: MUSIC 251 and either MUSIC 252 or MUSIC 253.","5","0/0","","","","","Chung H. Park","","S","300","16","Advanced Conducting","","354","{'day': 'Tu', 'end': '11:00', 'location': 'CHM 140', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CHM 140', 'start': '09:30'}","False","Prerequisites: MUSIC 251 and either MUSIC 252 or MUSIC 253.","A","1","","0/4","O","20251","","Research","2025"
"0000162495","0.5","0000000858","MUSIC","Working with a live instrumental or choral ensemble, students learn and conduct complete movements and/or entire works and encounter a variety of advanced baton techniques. Course activities develop skills in reading, preparing, interpreting and memorizing scores, with further focus on rehearsal procedures, performance practice, and concert programming. Participants are required to observe a variety of rehearsals on- and off-campus. Offered annually in the fall semester. Prerequisites: MUSIC 251 and either MUSIC 252 or MUSIC 253.","13","0/0","","","","","Anton Armstrong","","S","300","16","Advanced Conducting","","354","{'day': 'Tu', 'end': '11:00', 'location': 'CHM 233', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CHM 233', 'start': '09:30'}","False","Prerequisites: MUSIC 251 and either MUSIC 252 or MUSIC 253.","B","1","","0/4","O","20251","","Research","2025"
"0000162496","1.0","0000000666","JAPAN","This third year-level course aims to increase the knowledge of Japanese people, language, and society by comparing with students' own cultures in their target language. Various authentic ""texts"" (images, video clips, written texts, etc.) support student learning. Offered annually in the fall semester. Prerequisite: JAPAN 232 or equivalent.","12","","WLC","","","","Rika Ito","","S","300","20","Advanced Japanese I","","301","{'day': 'Mo', 'end': '10:00', 'location': 'TOH 200', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'TOH 200', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'TOH 200', 'start': '09:05'}","False","JAPAN 232 or equivalent.","","1","","","O","20251","","Research","2025"
"0000162498","0.25","0000001098","PHYS","Experiments explore various topics in physics. Emphasis is on the development of good laboratory techniques, analytical skills, and the ability to work independently. Each 0.25-course registration includes one three-hour laboratory per week. Offered annually in the fall semester.","10","0/0","","","","","Adam Svenkeson","","S","300","8","Advanced Physics Laboratory II","Only open to rising seniors and juniors.","386","{'day': 'Mo', 'end': '17:00', 'location': 'RNS 298', 'start': '14:00'}","False","False","A","1","","0/0","C","20251","","Lab","2025"
"0000162499","0.25","0000001098","PHYS","Experiments explore various topics in physics. Emphasis is on the development of good laboratory techniques, analytical skills, and the ability to work independently. Each 0.25-course registration includes one three-hour laboratory per week. Offered annually in the fall semester.","10","0/0","","","","","Suneth Kassapa Kapuru Bandage","","S","300","8","Advanced Physics Laboratory II","Only open to rising seniors and juniors.","386","{'day': 'Th', 'end': '10:50', 'location': 'RNS 298', 'start': '08:00'}","False","False","B","1","","0/0","C","20251","","Lab","2025"
"0000162500","0.25","0000001098","PHYS","Experiments explore various topics in physics. Emphasis is on the development of good laboratory techniques, analytical skills, and the ability to work independently. Each 0.25-course registration includes one three-hour laboratory per week. Offered annually in the fall semester.","8","0/0","","","","","Adam Svenkeson","","S","300","8","Advanced Physics Laboratory II","Only open to rising seniors and juniors.","386","{'day': 'Fr', 'end': '17:00', 'location': 'RNS 298', 'start': '14:00'}","False","False","C","1","","0/0","C","20251","","Lab","2025"
"0000162501","1.0","0000000440","ENGL","Students deepen their understanding of craft and form by reading contemporary and modern poetry and completing individual, polished writing projects. Class sessions encourage community development as students discuss various options within the poetic form, explore book-length volumes, workshop their writing, and examine the larger poetic landscape's artistic concerns and vocational practices. Prerequisites: ENGL 292 or permission of the instructor.","15","","","","","","Jennifer Kwon Dobbs","","S","300","15","Advanced Poetry Writing","","371","{'day': 'Mo', 'end': '12:45', 'location': 'HH 429', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'HH 429', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'HH 429', 'start': '11:50'}","False","Prerequisites: ENGL 292 or permission of the instructor.","","1","","","C","20251","","Research","2025"
"0000162502","1.0","0000022445","REL","This course offers an intensive study of African-American religious thought with particular emphasis on the 20th century. Structured thematically, the course covers: African religious roots; religious thought with particular emphasis on ideas of suffering, redemption, salvation, and liberation; the relation between Christianity and other religious traditions; and Afrocentrism and Black Nationalism as interpretive and critical lenses of African-American religious experience.","25","","CTD;PAR","","","","Timothy M. II. Rainey","","S","200","27","African American Religious Thought","","267","{'day': 'Tu', 'end': '11:00', 'location': 'OM 030', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'OM 030', 'start': '09:30'}","False","False","A","1","","","O","20251","African-American Religious Thought in the 20th Century","Research","2025"
"0000162503","1.0","0000022445","REL","This course offers an intensive study of African-American religious thought with particular emphasis on the 20th century. Structured thematically, the course covers: African religious roots; religious thought with particular emphasis on ideas of suffering, redemption, salvation, and liberation; the relation between Christianity and other religious traditions; and Afrocentrism and Black Nationalism as interpretive and critical lenses of African-American religious experience.","23","","CTD;PAR","","","","Timothy M. II. Rainey","","S","200","27","African American Religious Thought","","267","{'day': 'Tu', 'end': '13:10', 'location': 'OM 030', 'start': '11:45'};{'day': 'Th', 'end': '14:05', 'location': 'OM 030', 'start': '12:45'}","False","False","B","1","","","O","20251","African-American Religious Thought in the 20th Century","Research","2025"
"0000162504","1.0","0000031455","SDS","This course introduces students to the subject of machine learning. The primary focus is the development and application of powerful machine learning algorithms applied to complex, real-world data. Topics covered include linear regression, nearest neighbor models, k-means clustering, shrinkage methods, decision trees and forests, boosting, bagging, support vector machines, and hierarchical clustering. Applications are taken from a wide variety of disciplines, including biology, economics, public policy, public health, and sports. Offered annually during fall and spring semester. Counts toward computer science and mathematics majors and statistics and data science concentration. Prerequisite: SDS 164 or SDS 264 or permission of the instructor.","12","0/0","","","","","Jaime I. Davila","","S","300","24","Algorithms for Decision Making","","341","{'day': 'Tu', 'end': '13:10', 'location': 'TOH 182', 'start': '11:45'};{'day': 'Th', 'end': '14:05', 'location': 'TOH 182', 'start': '12:45'}","False","SDS 164 or SDS 264 or permission of the instructor.","","1","","0/0","O","20251","","Research","2025"
"0000162507","1.0","0000001134","PSCI","The purpose of this course is to introduce students to the principles of American constitutional law as well as the political struggles that shaped them. The course focuses not only on constitutional doctrine, but also on competing interpretations and political effects of landmark decisions. This course emphasizes debates over civil rights and civil liberties that have been central to modern Supreme Court jurisprudence.","24","","","","","","Joshua Anderson","","S","200","24","Am Constitutional Law","","272","{'day': 'Mo', 'end': '12:45', 'location': 'HH 523', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'HH 523', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'HH 523', 'start': '11:50'}","False","False","","1","","","C","20251","American Constitutional Law: Power","Research","2025"
"0000162508","1.0","0000000410","ENGL","Students explore the histories, cultural patterns, religious practices, key institutions, gender issues, narrative styles, and significant contributions to our nation of an array of racial and multicultural groups. Such diverse writers as Leslie Silko, Chaim Potok, Amy Tan, and Toni Morrison raise questions about voice and identity, both individual and collective. Offered annually. Prerequisite: WRIT 120 or equivalent.","15","","PAR","","","","SooJin Pate","","S","200","30","Am Racial/Multi Lit","","205","{'day': 'Tu', 'end': '11:00', 'location': 'TOH 114', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'TOH 114', 'start': '09:30'}","False","WRIT 120 or equivalent.","","1","","","O","20251","American Racial and Multicultural Literatures","Research","2025"
