"clbid","credits","crsid","department","description","enrolled","firstyear","groupid","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000051521","0.25","0000017310","NORW","","0","","","","","Solveig Zempel","","S","300","10","FLC - Norwegian","","382","","False","False","","3","","","O","20063","","FLAC","2006"
"0000051524","1.0","0000001176","PSYCH","When and why should certain experiences or patterns of behavior be considered psychologically abnormal? Students will investigate a wide array of psychological disorders, including anxiety disorders, depression, eating disorders and schizophrenia. We will examine models used to conceptualize abnormal behavior, as well as current evidence and theories regarding the etiology and treatment of these important and sometimes devastating disorders. Not open to first-year students. Prerequisite: Psychology 125. Offered each semester.","29","","","","","Deborah Anderson","","S","200","30","Psychopathology","","264","{'day': 'Mo', 'end': '10:00', 'location': 'HH 317', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'HH 317', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'HH 317', 'start': '09:05'}","False","Psychology 125. Offered each semester.","A","3","","","C","20063","","Research","2006"
"0000051525","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations on these sets. In an axiomatic or abstract treatment one assumes basic properties and then deduces many other properties. Using this method we study structures known as groups, rings and fields. Prerequisite: Mathematics 220. Offered both semesters.","11","","","","","Clifton Corzatt","","S","200","25","Abstract Algebra I","","252","{'day': 'Mo', 'end': '10:00', 'location': 'SC 188', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'SC 188', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'SC 188', 'start': '09:05'}","False","Mathematics 220. Offered both semesters.","A","3","","","O","20063","","Research","2006"
"0000051526","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations on these sets. In an axiomatic or abstract treatment one assumes basic properties and then deduces many other properties. Using this method we study structures known as groups, rings and fields. Prerequisite: Mathematics 220. Offered both semesters.","14","","","","","Joshua D. Laison","","S","200","25","Abstract Algebra I","","252","{'day': 'Mo', 'end': '14:55', 'location': 'SC 184', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'SC 184', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'SC 184', 'start': '14:00'}","False","Mathematics 220. Offered both semesters.","B","3","","","O","20063","","Research","2006"
"0000051527","1.0","0000000011","AMST","","1","","","","","James Farrell","","S","200","999","Academic Internship","","294","","True","False","","3","","","O","20063","Internship","Research","2006"
"0000051528","1.0","0000000068","ART","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","3","","","O","20063","","Research","2006"
"0000051529","1.0","0000000073","ART","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","O","20063","","Research","2006"
"0000051530","1.0","0000000093","ASIAN","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","3","","","O","20063","","Research","2006"
"0000051531","1.0","0000000096","ASIAN","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","O","20063","","Research","2006"
"0000051532","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor and complete an internship application.","2","","","","","Kevin M. Crisp","","S","200","999","Academic Internship","","294","","True","False","","3","","","O","20063","Internship","Research","2006"
