"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000097311","1.0","0000027951","ART","This course introduces students to the medium of graphic design as a method of enhanced communication. The course explores the design communication process including conceptualization, creative processes, terminology, and technology. Assignments introduce computer applications used in the graphic design profession as well as graphic design elements of typography, production, color theory, digital printing processes and basic web design. Counts toward studio art and art history majors and management studies concentration. Offered during summer.","4","0","1","2","1","","Rogers, Stephanie L.","{'fsnum': '17199', 'name': 'Rogers, Stephanie L.'}","200","","Graphic Design","","236","{'day': 'Mo', 'end': '09:30', 'location': 'CAD 100', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'CAD 100', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'CAD 100', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'CAD 100', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'CAD 100', 'start': '08:00'}","False","False","","4","O","20134","","Research","2013"
"0000096739","1.0","0000022785","ASIAN","This course considers the evolution of Japanese science fiction from the 1920s to the present. Genres covered include the short story, short short story, novel, manga, anime, and film--in English translation. The course emphasizes close readings of primary literary texts and analysis of the historical contexts that prompt Japan's science fictional musings. Students explore Japanese science fiction in a global perspective and examine Japanese works alongside works from other pertinent national traditions. Offered alternate years, in Interim or spring.","2","0","0","2","0","ALS-A;ALS-L;MCG","Bridges IV, William H.","{'fsnum': '23541', 'name': 'Bridges IV, William H.'}","100","","Japanese SciFi/Glob Persp","","130","{'day': 'Mo', 'end': '11:30', 'location': 'TOH 308', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'TOH 308', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'TOH 308', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'TOH 308', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'TOH 308', 'start': '10:00'}","False","False","","4","O","20134","Japanese Science Fiction in Global Perspective","Research","2013"
"0000096741","1.0","0000000114","BIO","Why do biologists do what they do? How is biology actually done? Students investigate the reasons biological science is done the way it is today. Students have the opportunity to design and perform their own experiments while learning the process of scientific investigation. Designed primarily for non-majors. Offered during Interim.","9","2","2","5","0","IST;NSC;NSL;SED","Giannini, John","{'fsnum': '2593', 'name': 'Giannini, John'}","100","","Thinking & Doing Bio","This course will meet only from June 2 - June 27.","135","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 290', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 290', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 290', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 290', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 290', 'start': '10:00'};{'day': 'Mo', 'end': '14:00', 'location': 'RNS 290', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'RNS 290', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'RNS 290', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'RNS 290', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'RNS 290', 'start': '12:30'}","False","False","","4","O","20134","Thinking and Doing Biology","Research","2013"
"0000096742","","0000000115","BIO","","9","2","2","5","0","","Giannini, John","{'fsnum': '2593', 'name': 'Giannini, John'}","100","","Thinking & Doing Bio Lab","","135","","False","","","4","O","20134","","Lab","2013"
"0000097421","1.0","0000026649","BIO","This course is the gateway for the biology major, guiding students as they develop the context, skills, and modern framework on which to continue their study of biology. Students explore the history, evolution, and diversity of life in the context of genetics and comparative genomics. The laboratory emphasizes question-asking, problem-solving, and exploring biodiversity, and students have multiple opportunities to practice and communicate their science. Students attend lectures plus one 3-hour laboratory/discussion per week. Offered each semester.","7","4","0","1","2","IST;SED","Porterfield, Jean C.","{'fsnum': '14015', 'name': 'Porterfield, Jean C.'}","100","","Biodiversity Foundations","","150","{'day': 'Mo', 'end': '10:00', 'location': 'RNS 435', 'start': '08:00'};{'day': 'Tu', 'end': '10:00', 'location': 'RNS 435', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'RNS 435', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'RNS 435', 'start': '08:00'}","False","False","","4","O","20134","Evolutionary Foundations of Biodiversity","Research","2013"
"0000097422","","0000026650","BIO","","7","4","0","1","2","","Porterfield, Jean C.","{'fsnum': '14015', 'name': 'Porterfield, Jean C.'}","100","","Biodiversity Found Lab","","150","{'day': 'Tu', 'end': '16:00', 'location': 'RNS 255', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'RNS 255', 'start': '13:00'}","False","","","4","O","20134","","Lab","2013"
"0000096953","1.0","0000000192","CHEM","This study of chemical stoichiometry, equilibrium, acid-base chemistry, coordination chemistry, and atomic and molecular structure supplies the fundamental background on which all later chemistry courses depend. It includes applications of equilibrium principles to acid-base chemistry. Students attend three classes and one three-hour laboratory each week. Prerequisites: high school chemistry and physics. Students planning to continue in chemistry should consider concurrent registration in Mathematics 120. Placement via online placement exam is required. The course cannot be taken in conjunction with or after credit in Chemistry 121. Offered annually in the fall semester.","9","2","0","5","2","NSC;NSL;SED","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Struct Chem & Equilib","","125","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'}","False","Prerequisites: high school chemistry and physics. Students planning to continue in chemistry should consider concurrent registration in Mathematics 120. Placement via online placement exam is required. The course cannot be taken in conjunction with or after credit in Chemistry 121. Offered annually in the fall semester.","","4","O","20134","Structural Chemistry and Equilibrium","Research","2013"
"0000096954","","0000000193","CHEM","","9","2","0","5","2","","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Struct Chem & Equilib Lab","","125","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'}","False","","","4","O","20134","","Lab","2013"
"0000096987","1.0","0000000196","CHEM","Organic chemistry is the study of compounds containing carbon, emphasizing the structures and mechanisms of reaction of these molecules. This course focuses on structure, nomenclature, and reactions of aliphatic and alicyclic compounds, including aspects of stereochemistry and spectroscopic identification of these compounds. A full treatment of introductory organic chemistry requires subsequent enrollment in Chemistry 248. Prerequisite: Chemistry 126, or Chemistry/Biology 227, or permission of instructor. Offered annually in the fall semester.","35","3","6","21","5","NSC","Pearson, Wesley","{'fsnum': '6161', 'name': 'Pearson, Wesley'}","200","","Organic Chemistry I","","247","{'day': 'Mo', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'}","False","Chemistry 126, or Chemistry/Biology 227, or permission of instructor. Offered annually in the fall semester.","","4","O","20134","","Research","2013"
"0000096988","0.25","0000000199","CHEM","This laboratory course introduces students to the synthesis and characterization of organic, organometallic and inorganic compounds and serves as a general introduction to green chemistry. Students purify the materials they produce by techniques such as chromatography and characterize them using optical rotation measurements, infrared spectroscopy, and nuclear magnetic resonance spectroscopy. Students attend one three-hour laboratory each week. P/N only. Prerequisites: previous or concurrent registration in Chemistry 247. Offered annually in the fall semester.","12","2","5","5","0","","Scholten, Marc D.","{'fsnum': '25347', 'name': 'Scholten, Marc D.'}","200","","Synthesis Lab I","","253","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'}","True","Prerequisites: previous or concurrent registration in Chemistry 247. Offered annually in the fall semester.","A","4","O","20134","Synthesis Laboratory I","Lab","2013"
"0000096989","0.25","0000000199","CHEM","This laboratory course introduces students to the synthesis and characterization of organic, organometallic and inorganic compounds and serves as a general introduction to green chemistry. Students purify the materials they produce by techniques such as chromatography and characterize them using optical rotation measurements, infrared spectroscopy, and nuclear magnetic resonance spectroscopy. Students attend one three-hour laboratory each week. P/N only. Prerequisites: previous or concurrent registration in Chemistry 247. Offered annually in the fall semester.","15","1","0","12","2","","Scholten, Marc D.","{'fsnum': '25347', 'name': 'Scholten, Marc D.'}","200","","Synthesis Lab I","","253","{'day': 'Tu', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'}","True","Prerequisites: previous or concurrent registration in Chemistry 247. Offered annually in the fall semester.","B","4","O","20134","Synthesis Laboratory I","Lab","2013"
