"clbid","credits","crsid","department","description","enrolled","firstyear","groupid","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000067922","1.0","0000000190","CHEM","This course covers the material of Chemistry 119, with an additional laboratory component. Laboratory work explores the characteristics and analysis of hazardous and beneficial materials. Counts towards environmental studies major and concentration; does not count toward Chemistry major. Offerd during Interim.","9","","0000000190","Janice Pellino","","S","100","30","A Matter of Environ","Students in Chemistry 124 must also register for lab Chemistry 124 L.","124","{'day': 'Mo', 'end': '10:00', 'location': 'RNS 435', 'start': '08:00'};{'day': 'Tu', 'end': '10:00', 'location': 'RNS 435', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'RNS 435', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'RNS 435', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'RNS 435', 'start': '08:00'}","False","False","","2","","","O","20092","A Matter of the Environment with Lab","Research","2009"
"0000067923","0.0","0000000191","CHEM","","9","","0000000190","Janice Pellino","","S","100","30","A Matter of Environ Lab","","124","{'day': 'Tu', 'end': '15:30', 'location': 'RNS 454', 'start': '12:30'};{'day': 'We', 'end': '15:30', 'location': 'RNS 454', 'start': '12:30'};{'day': 'Th', 'end': '15:30', 'location': 'RNS 454', 'start': '12:30'}","False","False","","2","","","O","20092","","Lab","2009"
"0000067924","1.0","0000000011","AMST","","0","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20092","Internship","Research","2009"
"0000067925","1.0","0000000068","ART","","1","","","Wendell Arneson","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20092","","Research","2009"
"0000067926","1.0","0000000073","ART","","0","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20092","","Research","2009"
"0000067927","1.0","0000000093","ASIAN","","1","","","Robert Entenmann","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20092","","Research","2009"
"0000067928","1.0","0000000096","ASIAN","","0","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20092","","Research","2009"
"0000067929","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor, and complete an internship application. Internships do not count toward the biology major requirements.","5","","","Theodore Johnson","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20092","Internship","Research","2009"
"0000067930","1.0","0000000174","BIO","Biology 394 is for students who have completed one internship (Biology 294) and wish to perform a second internship. Students interested in an internship should consult with the Center for Experiential Learning, locate a faculty sponsor, and complete an internship form.","1","","","Jean C. Porterfield","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20092","Internship","Research","2009"
"0000067931","1.0","0000000204","CHEM","","1","","","Theodore Johnson","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20092","Internship","Research","2009"
