"clbid","credits","crsid","department","description","enrolled","firstyear","gereqs","groupid","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000155884","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations that satisfy a few basic properties. Using the properties we study axiomatic systems such as groups, rings, and fields, covering topics such as homomorphisms, cosets, quotient structures, polynomial rings, and finite fields. Emphasis is on theory and on developing the ability to write proofs. Offered each semester. Also counts toward computer science major. Prerequisite: MATH 220. Permission of instructor required for first-year students.","8","","WAC","","","","Francesca Gandini","","S","200","18","Abstract Algebra I","Open to first-year students with permission of department director.;Please note the recent time change.","252","{'day': 'Mo', 'end': '14:55', 'location': 'RNS 204', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'RNS 204', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'RNS 204', 'start': '14:00'}","False","MATH 220. Permission of instructor required for first-year students.","B","1","","","O","20241","","Research","2024"
"0000155885","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations that satisfy a few basic properties. Using the properties we study axiomatic systems such as groups, rings, and fields, covering topics such as homomorphisms, cosets, quotient structures, polynomial rings, and finite fields. Emphasis is on theory and on developing the ability to write proofs. Offered each semester. Also counts toward computer science major. Prerequisite: MATH 220. Permission of instructor required for first-year students.","14","","WAC","","","","Jill Dietz","","S","200","18","Abstract Algebra I","Open to first-year students with permission of department director.","252","{'day': 'Tu', 'end': '11:00', 'location': 'TOH 186', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'TOH 186', 'start': '09:30'}","False","MATH 220. Permission of instructor required for first-year students.","A","1","","","C","20241","","Research","2024"
"0000155946","1.0","0000001341","SPAN","","0","","OEP","","","","Staff","","S","200","0","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","1","","","C","20241","","Research","2024"
"0000155987","1.0","0000000839","MUSIC","This studio course focuses on advanced techniques of acting and singing for the musical stage with emphasis on opera. Students explore voice, movement, improvisation, and characterization at an advanced level. Participants receive coaching in musical and dramatic style through solo and small ensemble literature and prepare scenes for class performance. The course culminates with public performances of a fully staged and costumed lyric theater work. May be repeated once. A production fee will be charged to all students participating in the production. Offered annually in the fall semester. Counts toward musical theater concentration. Prerequisites: two semesters of voice study or permission of instructor.","17","","","","","","Dale Kruse;Shari M. Speer","","S","200","18","Adv Act Lyric Stage","","267","{'day': 'Tu', 'end': '13:10', 'location': 'CHM Urness', 'start': '11:45'};{'day': 'Th', 'end': '14:05', 'location': 'CHM Urness', 'start': '12:45'}","False","Prerequisites: two semesters of voice study or permission of instructor.","","1","","","O","20241","Advanced Acting For The Lyric Stage","Research","2024"
"0000155988","1.0","0000001411","SDS","This course extends and generalizes methods introduced in STAT 272 by introducing generalized linear models (GLMs) and correlated data methods. GLMs cover logistic and Poisson regression, and more. Correlated data methods include longitudinal data analysis and multi level models. Applications are drawn from across the disciplines. Offered annually. Also counts toward neuroscience concentration. Prerequisite: STAT 272.","22","0/0","","","","","Laura F. Boehm","","S","300","25","Adv Statistical Model","","316","{'day': 'Mo', 'end': '11:40', 'location': 'RNS 160R', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'RNS 160R', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'RNS 160R', 'start': '10:45'}","False","STAT 272.","","1","","","O","20241","Advanced Statistical Modeling","Research","2024"
"0000155989","0.5","0000000858","MUSIC","Working with a live instrumental or choral ensemble, students learn and conduct complete movements and/or entire works and encounter a variety of advanced baton techniques. Course activities develop skills in reading, preparing, interpreting and memorizing scores, with further focus on rehearsal procedures, performance practice, and concert programming. Participants are required to observe a variety of rehearsals on- and off-campus. Offered annually in the fall semester. Also counts toward business and management studies concentration. Prerequisites: MUSIC 252 or MUSIC 253.","8","0/0","","","","","Chung H. Park","","S","300","16","Advanced Conducting","","354","{'day': 'Tu', 'end': '11:00', 'location': 'CHM 140', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CHM 140', 'start': '09:30'}","False","Prerequisites: MUSIC 252 or MUSIC 253.","A","1","","0/4","O","20241","","Research","2024"
"0000155990","0.5","0000000858","MUSIC","Working with a live instrumental or choral ensemble, students learn and conduct complete movements and/or entire works and encounter a variety of advanced baton techniques. Course activities develop skills in reading, preparing, interpreting and memorizing scores, with further focus on rehearsal procedures, performance practice, and concert programming. Participants are required to observe a variety of rehearsals on- and off-campus. Offered annually in the fall semester. Also counts toward business and management studies concentration. Prerequisites: MUSIC 252 or MUSIC 253.","13","0/0","","","","","Anton Armstrong","","S","300","16","Advanced Conducting","","354","{'day': 'Tu', 'end': '11:00', 'location': 'CHM 233', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'CHM 233', 'start': '09:30'}","False","Prerequisites: MUSIC 252 or MUSIC 253.","B","1","","0/4","O","20241","","Research","2024"
"0000155991","1.0","0000000666","JAPAN","This third year-level course aims to increase the knowledge of Japanese people, language, and society by comparing with students' own cultures in their target language. Various authentic ""texts"" (images, video clips, written texts, etc.) support student learning. Offered annually in the fall semester. Also counts toward Asian studies major and Asian studies and business and management studies concentrations. Prerequisite: JAPAN 232 or equivalent.","11","","WLC","","","","Rika Ito","","S","300","20","Advanced Japanese I","","301","{'day': 'Mo', 'end': '10:00', 'location': 'HH 429', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'HH 429', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'HH 429', 'start': '09:05'}","False","JAPAN 232 or equivalent.","A","1","","","O","20241","","Research","2024"
"0000155994","0.25","0000001098","PHYS","Experiments explore various topics in physics. Emphasis is on the development of good laboratory techniques, analytical skills, and the ability to work independently. Each 0.25-course registration includes one three-hour laboratory per week. Offered annually in the fall semester.","7","0/0","","","","","Eric L. Hazlett","","S","300","8","Advanced Physics Laboratory II","Only open to rising seniors and juniors.","386","{'day': 'Mo', 'end': '17:00', 'location': 'RNS 298', 'start': '14:00'}","False","False","A","1","","0/0","O","20241","","Lab","2024"
"0000155995","0.25","0000001098","PHYS","Experiments explore various topics in physics. Emphasis is on the development of good laboratory techniques, analytical skills, and the ability to work independently. Each 0.25-course registration includes one three-hour laboratory per week. Offered annually in the fall semester.","7","0/0","","","","","Adam Svenkeson","","S","300","8","Advanced Physics Laboratory II","Only open to rising seniors and juniors.","386","{'day': 'Th', 'end': '10:50', 'location': 'RNS 298', 'start': '08:00'}","False","False","B","1","","0/0","O","20241","","Lab","2024"
