"clbid","credits","crsid","department","description","enrolled","groupid","grouptype","instructors","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000088085","1.0","0000026217","HIST","This course introduces students to Mediterranean archaeological field techniques and methods such as survey, site identification, artifact processing and analysis, and site excavation. During a five-week summer session, students: visit museums in order to recognize artifacts and contextualize them in regional chronologies; practice and refine excavation and survey techniques; and critically examine how archaeological knowledge about the ancient Mediterranean is constructed and expressed.","7","","","Timothy R. Howe","S","200","10","Archaeological Methods","This is an off-campus course.","202","","False","False","H","5","C","20125","Mediterranean Archaeology Field School","Research","2012"
"0000091393","1.0","0000000194","CHEM","This course provides a sequential introduction to physical chemistry. Beginning with an introduction to statistical aspects of chemical equilibria, it explores the relationships between energy, entropy and equilibria (thermodynamics); oxidation-reduction reactions and electrochemistry; transitions between phases; and rates of reactions. Students attend three classes and one three-hour laboratory per week. Prerequisite: Chemistry 125, or 121 and 123 and Mathematics 120 or permission of instructor. Offered annually in the spring semester.","9","0000000194","","Patrick N. Riley","S","100","999","Chemical Reactions","","126","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'}","False","Chemistry 125, or 121 and 123 and Mathematics 120 or permission of instructor. Offered annually in the spring semester.","","5","O","20125","Energies and Rates of Chemical Reactions","Research","2012"
"0000091394","0.0","0000000195","CHEM","","9","0000000194","","Patrick N. Riley","S","100","999","Chemical Reactions Lab","","126","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'}","False","False","","5","O","20125","","Lab","2012"
"0000091395","1.0","0000000197","CHEM","This course is a continuation of Chemistry 247 topics. Chemistry 248 delves into the chemistry of functional groups, especially those that play a role in the reactivity of biomolecules such as carbohydrates, lipids, proteins ,and nucleic acids. Together, Chemistry 247 and 248 provide a full treatment of introductory organic chemistry. Prerequisite: Chemistry 247 or permission of instructor. Offered annually in the spring semester. Counts toward environmental studies major (natural science track).","30","0000000197","","Wesley Pearson","S","200","999","Organic Chemistry II","","248","{'day': 'Mo', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'RNS 310', 'start': '08:00'}","False","Chemistry 247 or permission of instructor. Offered annually in the spring semester. Counts toward environmental studies major (natural science track).","","5","O","20125","","Research","2012"
"0000091396","0.25","0000000200","CHEM","This course is a continuation of Chemistry 253. Students gain more experience with techniques used in Chemistry 253 and in addition use gas chromatographic/mass spectrometric analyses. Students attend one three-hour laboratory each week. P/N only. Prerequisites: Chemistry 253 and previous or concurrent registration in Chemistry 248. Offered annually in the spring semester. Counts toward environmental studies major (natural science track).","14","0000000197","","Cassidy R. Terrell","S","200","999","Synthesis Lab II","","254","{'day': 'Tu', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'};{'day': 'Th', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'}","True","Prerequisites: Chemistry 253 and previous or concurrent registration in Chemistry 248. Offered annually in the spring semester. Counts toward environmental studies major (natural science track).","A","5","O","20125","Synthesis Laboratory II","Lab","2012"
"0000091397","0.25","0000000200","CHEM","This course is a continuation of Chemistry 253. Students gain more experience with techniques used in Chemistry 253 and in addition use gas chromatographic/mass spectrometric analyses. Students attend one three-hour laboratory each week. P/N only. Prerequisites: Chemistry 253 and previous or concurrent registration in Chemistry 248. Offered annually in the spring semester. Counts toward environmental studies major (natural science track).","12","0000000197","","Cassidy R. Terrell","S","200","999","Synthesis Lab II","","254","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 340', 'start': '13:00'}","True","Prerequisites: Chemistry 253 and previous or concurrent registration in Chemistry 248. Offered annually in the spring semester. Counts toward environmental studies major (natural science track).","B","5","O","20125","Synthesis Laboratory II","Lab","2012"
"0000091398","1.0","0000000499","ID","This course provides an examination and application of the key content, skills, and perspectives of human geography. The lens of the geographer focuses on the spatial distribution of phenomena over the surface of the earth, asking the questions ""where?"" and ""why there?"". The practices and skills of geography are used to investigate a variety of issues in the Middle East, including environmental problems, the culture and management of sacred places, and the reasons for war and the need for peace. Counts toward environmental studies major (social science track).","10","","","Robert W. McClure","S","200","999","Human Geography","","234","{'day': 'Mo', 'end': '14:00', 'location': 'TOH 212', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'TOH 212', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'TOH 212', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'TOH 212', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'TOH 212', 'start': '12:30'}","False","False","","5","O","20125","Human Geography of the Middle East","Research","2012"
"0000091401","1.0","0000001176","PSYCH","Why are certain experiences or patterns of behavior considered psychologically ""abnormal?"" Students investigate a wide array of psychological disorders, including anxiety disorders, depression, eating disorders, and schizophrenia. Students examine models used to conceptualize abnormal behavior, as well as current evidence and theories regarding the etiology and treatment of these important and sometimes devastating disorders. Prerequisite: Psychology 125. Offered each semester.","7","","","Carlo O. Veltri","S","200","999","Psychopathology","","247","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 124', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 124', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 124', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 124', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 124', 'start': '10:00'}","False","Psychology 125. Offered each semester.","","5","O","20125","","Research","2012"
"0000091419","0.5","0000001016","ESAC","Students learn the principles, techniques and safety aspects of weight-training and implement a personal training plan. Students participate in a wide range of assessments (strength, power, endurance, nutrition, flexibility, body composition, stress).","2","","","Andrea J. Gelle","S","100","999","Wt Training Co-Ed .50","","140","{'day': 'Mo', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'}","False","False","","5","O","20125","Weight Training","Research","2012"
"0000091420","0.5","0000001012","ESAC","Students personally apply the basic principles of exercise through conditioning, strength development, endurance training, and aerobic activities. Students participate in a wide range of assessments designed to enhance physical fitness.","7","","","Andrea J. Gelle","S","100","999","Individual Fitness.50","","133","{'day': 'Mo', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'SAC 112', 'start': '14:30'}","False","False","","5","O","20125","Individual Fitness","Research","2012"
"0000091460","1.0","0000020060","REL","Nordic sagas and modern fantastic works pose important theological questions such as the nature of reality in fantasy, the Eucharist, honor, gift, the grotesque, evil, salvation in Christ, and life as a quest and pilgrimage. They also raise valuable problems about the relationship of Christian beliefs to cultural narratives. Students may read J.R.R. Tolkien's Lord of the Rings, G.K. Chesterton, and selected sagas, alongside of theological writings. Prerequisite: BTS-B. Offered during Interim.","21","","R","Gregory A. Walter","S","200","999","Quest of Ring/Grail/Cross","WRI pending approval.","238","{'day': 'Mo', 'end': '11:30', 'location': 'OM 110', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'OM 110', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'OM 110', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'OM 110', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'OM 110', 'start': '10:00'}","False","BTS-B. Offered during Interim.","","5","O","20125","Quest of the Ring, the Grail, and the Cross","Research","2012"
"0000091461","1.0","0000001237","REL","The nature and boundaries of communities, as well as the quality of relationships within communities, are determined by theology as well as by social, political, and ethnic factors. Students examine the ways in which the world's religions, particularly Christianity, have interpreted each other's significance and truth claims and considers the ethical implications of these different responses. Prerequisite: completion of BTS-T or permission of instructor.","7","","","Gregory A. Walter","S","200","999","Rel Pluralsm/Communit","","295","{'day': 'Mo', 'end': '09:30', 'location': 'OM 110', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'OM 110', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'OM 110', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'OM 110', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'OM 110', 'start': '08:00'}","False","completion of BTS-T or permission of instructor.","","5","O","20125","Religious Pluralism and the Nature of Community","Research","2012"
"0000091630","1.0","0000000406","ENGL","Students read and discuss children's literature from a variety of cultures and time periods. Beginning with world folklore and children's classics as background, students explore an array of picture books, poetry, fiction, and nonfiction that exemplifies the best in fantasy, science fiction, and realism for children and young adults. Special emphasis is given to two relatively new subgenres: multicultural literature and the contemporary problem novel. Prerequisite: FYW. Counts toward women's and gender studies major and concentration.","14","","","Jan C. Hill","S","200","999","Children's Literature","","242","{'day': 'Mo', 'end': '16:00', 'location': 'RML 420', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'RML 420', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'RML 420', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'RML 420', 'start': '14:30'}","False","FYW. Counts toward women's and gender studies major and concentration.","","5","O","20125","Children's and Young Adult Literature","Research","2012"
"0000091631","1.0","0000024362","PHIL","Judo is an Olympic sport and martial art widely known for its dynamic throws, slick submissions, and grueling conditioning. However, the founder of judo also intended it to be a system of moral education rooted in the philosophical traditions of Japan. In this course students learn the physical aspects of judo through intensive practice and the philosophical aspects of judo through studying Zen Buddhism and the writings of judo's founder, Jigoro Kano. Offered during Interim.","6","","R","Danny Muñoz-Hutchinson","S","100","999","Zen and Art of Judo","","127","{'day': 'Mo', 'end': '16:00', 'location': 'SAC Wr Rm', 'start': '14:30'};{'day': 'Tu', 'end': '16:00', 'location': 'SAC Wr Rm', 'start': '14:30'};{'day': 'We', 'end': '16:00', 'location': 'SAC Wr Rm', 'start': '14:30'};{'day': 'Th', 'end': '16:00', 'location': 'SAC Wr Rm', 'start': '14:30'};{'day': 'Fr', 'end': '16:00', 'location': 'SAC Wr Rm', 'start': '14:30'}","False","False","","5","O","20125","Zen and the Art of Judo","Research","2012"
"0000091736","1.0","0000000745","MATH","Students encounter the theory of calculus and develop tools for communicating mathematical ideas with technical accuracy and sophistication. The goal is mastery of the concepts (e.g., limit, continuity, derivatives, and integrals) necessary to verify such important results as the Fundamental Theorem of Calculus, the Mean Value Theorem, and the Bolzano-Weierstrass Theorem. Emphasis is on theory and on developing the ability to write proofs. Prerequisite: Mathematics 126 or 128, and Mathematics 220. Permission of instructor required for first year students. Offered each semester.","3","","","Bruce Hanson","S","200","999","Real Analysis I","","244","{'day': 'Mo', 'end': '11:30', 'location': 'TOH 186', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'TOH 186', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'TOH 186', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'TOH 186', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'TOH 186', 'start': '10:00'}","False","Mathematics 126 or 128, and Mathematics 220. Permission of instructor required for first year students. Offered each semester.","","5","O","20125","","Research","2012"
"0000091751","1.0","0000001104","PSCI","Why do some societies have democratic political systems and others authoritarian ones? What is democracy? Is it the norm or the exception? The course provides a foundation for the understanding of contemporary political regimes. It applies the major concepts of comparative analysis to the political systems of Western and non-Western societies. Offered annually.","5","","","Kris Thalhammer","S","100","999","Comparative Politics","","112","{'day': 'Mo', 'end': '09:30', 'location': 'HH 319', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'HH 319', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'HH 319', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'HH 319', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'HH 319', 'start': '08:00'}","False","False","","5","O","20125","","Research","2012"
