"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000144083","1.0","0000018612","AFAD","","0","0","0","0","0","OEP","Staff","{'fsnum': '', 'name': 'Staff'}","200","0","","","","","Academic Internship","Please see Piper Center's academic internship website to access Handshake to    ;fill out the necessary information to register for this class.","294","","True","","","2","C","20222","","Research","2022"
"0000144273","1.0","0000018613","AFAD","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","0","","","","","IS/","","298","","False","","","2","C","20222","Independent Study","Research","2022"
"0000147018","1.0","0000018613","AFAD","","1","0","0","0","1","","Iddrisu, Abdulai","{'fsnum': '21082', 'name': 'Iddrisu, Abdulai'}","200","0","","","","","IS/African Cultural Transmission","","298","","False","","A","2","C","20222","Independent Study","Research","2022"
"0000144084","1.0","0000018614","AFAD","","0","0","0","0","0","OEP","Staff","{'fsnum': '', 'name': 'Staff'}","300","0","","","","","Academic Internship","Please see Piper Center's academic internship website to access Handshake to    ;fill out the necessary information to register for this class.","394","","True","","","2","C","20222","","Research","2022"
"0000144218","1.0","0000018615","AFAD","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","0","","","","","IR/","","398","","False","","","2","C","20222","Independent Research","Research","2022"
"0000152120","1.0","0000020054","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of two-dimensional art-making and the ways drawing informs the creation and understanding of art in cultural contexts. Students explore color, value, form, and space through a wide variety of materials. The course emphasizes strategies for idea generation and visual problem solving. Students engage in spirited investigation, critiques, and thoughtful creative expression. Materials fee. Offered each semester.","11","3","0","4","4","ALS-A;CRE","DuCett, Andrew","{'fsnum': '35027', 'name': 'DuCett, Andrew'}","100","19","","","","","Foundation 2-D Media","Material Fee will be $125","102","{'day': 'Mo', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Mo', 'end': '12:10', 'location': 'CAD 216', 'start': '22:40'};{'day': 'Tu', 'end': '12:10', 'location': 'CAD 216', 'start': '22:40'};{'day': 'We', 'end': '12:10', 'location': 'CAD 216', 'start': '22:40'};{'day': 'Th', 'end': '12:10', 'location': 'CAD 216', 'start': '22:40'};{'day': 'Fr', 'end': '12:10', 'location': 'CAD 216', 'start': '22:40'}","False","False","","2","O","20222","Foundation Two-Dimensional Media","Research","2022"
"0000146712","1.0","0000020056","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of three-dimensional art-making and the ways three-dimensional media inform the creation and understanding of art in many contexts. Students explore sculpture and its intersection with other media and art forms through a variety of materials and experiments. The course emphasizes idea generation. Students engage in spirited investigation, creative expression, and play. Materials fee. Offered each semester.","14","10","1","2","1","ALS-A;CRE","Eisner, Sophie W.","{'fsnum': '33069', 'name': 'Eisner, Sophie W.'}","100","16","","","","","Foundation 3-D Media","Material Fee will be $140","103","{'day': 'Mo', 'end': '15:00', 'location': 'CAD 106', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 106', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 106', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 106', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 106', 'start': '13:00'};{'day': 'Mo', 'end': '12:40', 'location': 'CAD 106', 'start': '22:40'};{'day': 'Tu', 'end': '12:40', 'location': 'CAD 106', 'start': '22:40'};{'day': 'We', 'end': '12:40', 'location': 'CAD 106', 'start': '22:40'};{'day': 'Th', 'end': '12:40', 'location': 'CAD 106', 'start': '22:40'};{'day': 'Fr', 'end': '12:40', 'location': 'CAD 106', 'start': '22:40'}","False","False","","2","C","20222","Foundation Three-Dimensional Media","Research","2022"
"0000146406","1.0","0000000037","ART","Through a sequence of architectural design projects, students learn drawing (hand drafting and computer-aided drawing and design) and architectural design processes that require the integration of social, artistic, technical, and environmental issues typical of real projects. Visiting architects are involved. Field trips to experience spaces/places augment the studio work. Materials fee. Offered alternate years. Also counts toward management studies concentration. Prerequisite: ART 102 or ART 103 or ART 104 or permission of instructor.","16","5","4","3","4","","Olsen, Benjamin D.;Strom, Christopher;Gough, Kurt;Knutson, Nathan","{'fsnum': '21478', 'name': 'Olsen, Benjamin D.'};{'fsnum': '27248', 'name': 'Strom, Christopher'};{'fsnum': '28050', 'name': 'Gough, Kurt'};{'fsnum': '27251', 'name': 'Knutson, Nathan'}","200","16","","","","","Architectural Drawing and Design I","The materials fee for ART 225 is $150.","225","{'day': 'Mo', 'end': '15:00', 'location': 'CAD 116', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 116', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 116', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 116', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 116', 'start': '13:00'};{'day': 'Mo', 'end': '10:00', 'location': 'CAD 116', 'start': '08:00'};{'day': 'Tu', 'end': '10:00', 'location': 'CAD 116', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 116', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'CAD 116', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 116', 'start': '08:00'}","False","ART 102 or ART 103 or ART 104 or permission of instructor.","","2","C","20222","Architectural Design I","Research","2022"
"0000148794","1.0","0000027951","ART","This course introduces students to the medium of graphic design as a method of enhanced communication. The course explores the design communication process including conceptualization, creative processes, terminology, and technology. Assignments introduce computer applications used in the graphic design profession as well as graphic design elements of typography, production, color theory, digital printing processes, and basic web design. Offered periodically. Also counts toward management studies concentration. Prerequisite: ART 104 or permission of the instructor.","16","3","3","3","7","","Bosch, Kelsey E.","{'fsnum': '32181', 'name': 'Bosch, Kelsey E.'}","200","16","4","4","4","4","Graphic Design","This course has class-year limits.                                              ;Students that have not met the prerequisite are welcome to register.            ;This course includes an academic civic engagement (ACE) component.","236","{'day': 'Mo', 'end': '15:00', 'location': 'CAD 100', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 100', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 100', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 100', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 100', 'start': '13:00'};{'day': 'Mo', 'end': '12:10', 'location': 'CAD 100', 'start': '22:40'};{'day': 'Tu', 'end': '12:10', 'location': 'CAD 100', 'start': '22:40'};{'day': 'We', 'end': '12:10', 'location': 'CAD 100', 'start': '22:40'};{'day': 'Th', 'end': '12:10', 'location': 'CAD 100', 'start': '22:40'};{'day': 'Fr', 'end': '12:10', 'location': 'CAD 100', 'start': '22:40'}","False","ART 104 or permission of the instructor.","","2","C","20222","","Research","2022"
"0000144339","1.0","0000000048","ART","","17","0","5","2","10","","Saurer, John","{'fsnum': '7064', 'name': 'Saurer, John'}","200","18","","","","","New York Art Interim","This is an off-campus course. You will find this course listed in Studio Abroad ;under its course title.","246","","False","","","2","C","20222","","Research","2022"
"0000144307","1.0","0000000054","ART","What kinds of stories do historians, writers, and artists tell about the cities in which they live? How are these stories reflected in the architecture and urban fabric of the cities themselves? And how do the geography and environment of Italy shape both the lore about a city and its actual built environment? To answer these questions, students explore the representations of Italian cities in literature and visual arts and the documented and architectural realities of urban development. The majority of the course focuses on a study of the city of Florence; students make shorter visits to other Italian cities and study the facts and fictions about each city's urban history.","17","0","8","0","9","ALS-A;CRE;OEP","Weeks, Michon","{'fsnum': '23761', 'name': 'Weeks, Michon'}","200","16","","","","","Italian Art in Context","This is an off-campus course. You will find this course listed in Studio Abroad ;under its course title.","255","","False","False","","2","C","20222","","Research","2022"
"0000146778","1.0","0000031261","ART","Students study Georgia O'Keeffe's New Mexican art, natural and cultural contexts. Three weeks at Ghost Ranch follow a week in Santa Fe with the Georgia O'Keeffe Museum and other resources. Discussions, readings, activities, and field trips help students gain insight into the desert as a source of spiritual quest and inspiration to nature writers and artists. They learn about Native American cultures and the region as a place women found liberation and scientists created the atom bomb. Also counts toward environmental studies, gender and sexuality studies, and women's and gender studies majors, and environmental studies, gender and sexuality studies, and women's and gender studies concentrations.","19","1","9","5","4","ALS-A;MCD","Ryan, Hannah","{'fsnum': '31158', 'name': 'Ryan, Hannah'}","200","18","","","","","O'Keeffe's Art and New Mexico","","261","","False","False","","2","C","20222","","Research","2022"
"0000144006","1.0","0000000068","ART","","0","0","0","0","0","OEP","Staff","{'fsnum': '', 'name': 'Staff'}","200","0","","","","","Academic Internship","Please see Piper Center's academic internship website to access Handshake to    ;fill out the necessary information to register for this class.","294","","True","","","2","C","20222","","Research","2022"
"0000144278","1.0","0000000069","ART","Prerequisites: (for studio art) four foundation courses and two upper-division courses in area of study.;Prerequisites: (for art history) two upper-division courses in area of study.","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","0","","","","","IS/","","298","","False","Prerequisites: (for studio art) four foundation courses and two upper-division courses in area of study.\nPrerequisites: (for art history) two upper-division courses in area of study.","","2","C","20222","Independent Study","Research","2022"
