"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000151658","1.0","0000000016","AFAD","The seminar examines Africans in dispersion/Diaspora as students interrogate the African background of African Americans and links between Africans and African Americans. The course examines the dynamics of precolonial West African societies; the nature of the interaction between Africa and the New World; and the role Africans, African culture, and African institutions played in the political, economic, cultural, and religious life of the New World. Students examine the ties that bind Africans and African Americans and explore questions such as: To what extent was the iconography of Africa used to mobilize Africans in dispersion? How effectively was the consciousness of Africa sustained in the New World? What are the contributions of African Americans to Africa? Also counts toward history, race and ethnic studies, and social studies education majors; and race and ethnic studies concentration.","12","3","4","2","3","ALS-L;MCG;MCS-G","Iddrisu, Abdulai","{'fsnum': '21082', 'name': 'Iddrisu, Abdulai'}","200","15","","","","","Sem: Africa/Americas","","231","{'day': 'Tu', 'end': '11:00', 'location': 'TB 227', 'start': '09:35'};{'day': 'Th', 'end': '10:50', 'location': 'TB 227', 'start': '09:30'}","False","False","","3","O","20233","Africa and the Americas: The Diaspora Experience","Seminar","2023"
"0000150821","1.0","0000018612","AFAD","","0","0","0","0","0","OEP","Staff","{'fsnum': '', 'name': 'Staff'}","200","0","","","","","Academic Internship","Please see Piper Center's academic internship website to access Handshake to    ;fill out the necessary information to register for this class.","294","","True","","","3","C","20233","","Research","2023"
"0000151392","1.0","0000018613","AFAD","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","0","","","","","IS/","","298","","False","","","3","C","20233","Independent Study","Research","2023"
"0000150822","1.0","0000018614","AFAD","","0","0","0","0","0","OEP","Staff","{'fsnum': '', 'name': 'Staff'}","300","0","","","","","Academic Internship","Please see Piper Center's academic internship website to access Handshake to    ;fill out the necessary information to register for this class.","394","","True","","","3","C","20233","","Research","2023"
"0000151326","1.0","0000018615","AFAD","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","0","","","","","IR/","","398","","False","","","3","C","20233","Independent Research","Research","2023"
"0000151102","1.0","0000032355","AMCON","Hope, based on expectations of opportunity, and fear, grounded in cataclysms, shape everyday life and the United States' role in the world. Fears underlie conflicts between groups; hope animates social movements and energizes human rights initiatives. This course prepares students to be engaged citizens on campus and beyond. A culminating civic engagement experience draws from previous American Conversations assignments. Students will help design part of the course, shaping future conversations of hope and fear. Offered annually in the spring semester. Prerequisites: AMCON 110, AMCON 111, and AMCON 210.","11","0","0","11","0","ALS-A;HBS;SCS;WAC;WRI","David, Marc","{'fsnum': '26230', 'name': 'David, Marc'}","200","16","0","0","","0","Fear and Hope","","211","{'day': 'Mo', 'end': '12:45', 'location': 'HH 429', 'start': '23:50'};{'day': 'We', 'end': '12:45', 'location': 'HH 429', 'start': '23:50'};{'day': 'Fr', 'end': '12:45', 'location': 'HH 429', 'start': '23:50'}","False","Prerequisites: AMCON 110, AMCON 111, and AMCON 210.","","3","O","20233","","Research","2023"
"0000151351","1.0","0000036023","ANCST","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","300","","","","","","IR/","","398","","False","","","3","O","20233","Independent Research","Research","2023"
"0000151123","1.0","0000020054","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of two-dimensional art-making and the ways drawing informs the creation and understanding of art in cultural contexts. Students explore color, value, form, and space through a wide variety of materials. The course emphasizes strategies for idea generation and visual problem solving. Students engage in spirited investigation, critiques, and thoughtful creative expression. Materials fee. Offered each semester.","20","5","4","6","5","ALS-A;CRE","Weeks, Michon","{'fsnum': '23761', 'name': 'Weeks, Michon'}","100","20","5","5","5","5","Foundation 2-D Media","This course has class-year limits.                                              ;The materials fee for ART 102 A will be $135.","102","{'day': 'Mo', 'end': '12:45', 'location': 'CAD 216', 'start': '22:45'};{'day': 'We', 'end': '12:45', 'location': 'CAD 216', 'start': '22:45'};{'day': 'Fr', 'end': '12:45', 'location': 'CAD 216', 'start': '22:45'}","False","False","A","3","C","20233","Foundation Two-Dimensional Media","Research","2023"
"0000151122","1.0","0000020054","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of two-dimensional art-making and the ways drawing informs the creation and understanding of art in cultural contexts. Students explore color, value, form, and space through a wide variety of materials. The course emphasizes strategies for idea generation and visual problem solving. Students engage in spirited investigation, critiques, and thoughtful creative expression. Materials fee. Offered each semester.","17","6","4","3","4","ALS-A;CRE","Saurer, John","{'fsnum': '7064', 'name': 'Saurer, John'}","100","20","5","5","5","5","Foundation 2-D Media","The materials fee for ART 102 B will be $135.                                   ;This course has class-year limits.","102","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 216', 'start': '08:00'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 216', 'start': '08:00'}","False","False","B","3","O","20233","Foundation Two-Dimensional Media","Research","2023"
"0000153805","1.0","0000020056","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of three-dimensional art-making and the ways three-dimensional media inform the creation and understanding of art in many contexts. Students explore sculpture and its intersection with other media and art forms through a variety of materials and experiments. The course emphasizes idea generation. Students engage in spirited investigation, creative expression, and play. Materials fee. Offered each semester.","16","8","2","5","1","ALS-A;CRE","Amada, Mayumi","{'fsnum': '35091', 'name': 'Amada, Mayumi'}","100","16","7","3","3","3","Foundation 3-D Media","This course has class-year limits.                                              ;The materials fee for ART 103A will be $150.","103","{'day': 'Tu', 'end': '11:00', 'location': 'CAD 106', 'start': '08:00'};{'day': 'Th', 'end': '10:50', 'location': 'CAD 106', 'start': '08:00'}","False","False","A","3","C","20233","Foundation Three-Dimensional Media","Research","2023"
