"clbid","credits","crsid","department","description","enrolled","firstyear","groupid","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000118161","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations that satisfy a few basic properties. Using the properties we study axiomatic systems such as groups, rings, and fields, covering topics such as homomorphisms, cosets, quotient structures, polynomial rings,and finite fields. Emphasis is on theory and on developing the ability to write proofs. Offered each semester. Counts toward computer science major. Prerequisite: MATH 220. Permission of instructor required for first-year students.","22","","","","","Ryota Matsuura","","S","200","18","Abstract Algebra I","Open to first-year students with permission of department chair.","252","{'day': 'Mo', 'end': '12:45', 'location': 'TOH 184', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'TOH 184', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'TOH 184', 'start': '11:50'}","False","MATH 220. Permission of instructor required for first-year students.","B","1","","","C","20181","","Research","2018"
"0000118162","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations that satisfy a few basic properties. Using the properties we study axiomatic systems such as groups, rings, and fields, covering topics such as homomorphisms, cosets, quotient structures, polynomial rings,and finite fields. Emphasis is on theory and on developing the ability to write proofs. Offered each semester. Counts toward computer science major. Prerequisite: MATH 220. Permission of instructor required for first-year students.","19","","","","","Jill Dietz","","S","200","18","Abstract Algebra I","Open to first-year students with permission of department chair.","252","{'day': 'Mo', 'end': '10:00', 'location': 'RNS 204', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'RNS 204', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'RNS 204', 'start': '09:05'}","False","MATH 220. Permission of instructor required for first-year students.","A","1","","","C","20181","","Research","2018"
"0000118163","1.0","0000000011","AMST","","0","","","","","Staff","","S","200","999","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","294","","True","False","","1","","","C","20181","","Research","2018"
"0000118164","1.0","0000000014","AMST","","0","","","","","Staff","","S","300","999","Academic Internship","Please see Piper Center's academic internship website to access Handshake to;fill out the necessary information to register for this class.","394","","True","False","","1","","","C","20181","","Research","2018"
"0000118165","0.25","0000000068","ART","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","C","20181","","Research","2018"
"0000118166","1.0","0000000073","ART","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","C","20181","","Research","2018"
"0000118167","0.25","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","0","0/0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","C","20181","","Research","2018"
"0000118168","1.0","0000000174","BIO","Biology 394 is for students who have completed one internship (BIO 294) and wish to complete a second internship. Students interested in an internship should consult with the Piper Center for Vocation and Career, locate a faculty supervisor, and complete an internship form. Internships do not count toward the biology major requirements.","0","0/0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","C","20181","","Research","2018"
"0000118169","0.25","0000000204","CHEM","","1","","","","","Douglas J. Beussman","","S","200","999","Academic Internship","","294","","True","False","","1","","","C","20181","","Research","2018"
"0000118170","1.0","0000000222","CHEM","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","C","20181","","Research","2018"
"0000118171","1.0","0000000233","CLASS","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","C","20181","","Research","2018"
"0000118172","1.0","0000000235","CLASS","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","C","20181","","Research","2018"
"0000118173","1.0","0000000248","CHIN","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","C","20181","","Research","2018"
"0000118174","1.0","0000000251","CHIN","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","C","20181","","Research","2018"
"0000118175","1.0","0000000276","ECON","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","C","20181","","Research","2018"
"0000118176","1.0","0000000284","ECON","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","C","20181","","Research","2018"
"0000118177","1.0","0000000299","CSCI","This is an intermediate-level version of CSCI 394.","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","C","20181","","Research","2018"
