"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000089246","1.0","0000024298","ALSO","Students learn a language such as Arabic, Korean, or Italian in a guided, independent study program offered through the World Languages Center. They meet with a native speaker conversation partner for three hours a week, in addition to ten hours of study on their own and mandatory tutorial sessions. Syllabi and tests are developed and administered in consultation with an expert outside examiner. Students in this program are strongly encouraged to take courses in the general curriculum that provide important cultural context for the study of their language. The language(s) offered in any semester depend(s) on student interest, usually requiring 2-5 students to offer a section. Prerequisite: Completion of FOL requirement. For additional course info see http://www.stolaf.edu/services/wlc/also.html","3","0","0","2","1","","Debska-McWilliams, Renata","{'fsnum': '16720', 'name': 'Debska-McWilliams, Renata'}","100","10","0","","","","Top: Beginning Arabic I","Permission of instructor required to register.                                  ;Prerequisite: Completion of FOL requirement.","100","{'day': 'Mo', 'end': '13:50', 'location': 'TOH 153', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'TOH 153', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'TOH 153', 'start': '12:55'}","False","Completion of FOL requirement. For additional course info see http://www.stolaf.edu/services/wlc/also.html","A","1","O","20131","Alternate Language Study Option","Research","2013"
"0000089247","1.0","0000024298","ALSO","Students learn a language such as Arabic, Korean, or Italian in a guided, independent study program offered through the World Languages Center. They meet with a native speaker conversation partner for three hours a week, in addition to ten hours of study on their own and mandatory tutorial sessions. Syllabi and tests are developed and administered in consultation with an expert outside examiner. Students in this program are strongly encouraged to take courses in the general curriculum that provide important cultural context for the study of their language. The language(s) offered in any semester depend(s) on student interest, usually requiring 2-5 students to offer a section. Prerequisite: Completion of FOL requirement. For additional course info see http://www.stolaf.edu/services/wlc/also.html","3","0","1","1","1","","Debska-McWilliams, Renata","{'fsnum': '16720', 'name': 'Debska-McWilliams, Renata'}","100","10","0","","","","Top: Beginning Arabic I","Permission of instructor required to register.                                  ;Prerequisite: Completion of FOL requirement.","100","{'day': 'Mo', 'end': '14:55', 'location': 'TOH 153', 'start': '14:00'};{'day': 'We', 'end': '14:55', 'location': 'TOH 153', 'start': '14:00'};{'day': 'Fr', 'end': '14:55', 'location': 'TOH 153', 'start': '14:00'}","False","Completion of FOL requirement. For additional course info see http://www.stolaf.edu/services/wlc/also.html","B","1","O","20131","Alternate Language Study Option","Research","2013"
"0000089248","1.0","0000025427","ALSO","Students learn a language such as Arabic, Korean, or Italian in a guided, independent study program offered through the World Languages Center. They meet with a native speaker conversation partner for three hours a week, in addition to ten hours of study on their own and mandatory tutorial sessions. Syllabi and tests are developed and administered in consultation with an expert outside examiner. Students in this program are strongly encouraged to take courses in the general curriculum that provide important cultural context for the study of their language. The language(s) offered in any semester depend(s) on student interest, usually requiring 2-5 students to offer a section. Prerequisite: Completion of FOL requirement. For additional course info see http://www.stolaf.edu/services/wlc/also.html","5","0","3","0","2","","Debska-McWilliams, Renata","{'fsnum': '16720', 'name': 'Debska-McWilliams, Renata'}","100","10","0","","","","Top: Beginning Korean I","Permission of instructor required to register.                                  ;Prerequisite: Completion of FOL requirement.","102","{'day': 'Tu', 'end': '14:45', 'location': 'TOH 153', 'start': '13:20'};{'day': 'Th', 'end': '15:35', 'location': 'TOH 153', 'start': '14:15'}","False","Completion of FOL requirement. For additional course info see http://www.stolaf.edu/services/wlc/also.html","","1","O","20131","Alternative Language Study Option","Topic","2013"
"0000091346","1.0","0000026647","ALSO","Students learn a language such as Arabic, Korean, or Italian in a guided, independent study program offered through the World Languages Center. They meet with a native speaker conversation partner for three hours a week, in addition to ten hours of study on their own and mandatory tutorial sessions. Syllabi and tests are developed and administered in consultation with an expert outside examiner. Students in this program are strongly encouraged to take courses in the general curriculum that provide important cultural context for the study of their language. The language(s) offered in any semester depend(s) on student interest, usually requiring 2-5 students to offer a section. Prerequisite: Completion of FOL requirement. For additional course info see http://www.stolaf.edu/services/wlc/also.html","4","1","3","0","0","","Debska-McWilliams, Renata","{'fsnum': '16720', 'name': 'Debska-McWilliams, Renata'}","100","10","0","","","","Top: Beginning Italian I","Prerequisite: Permission of instructor required to register.                    ;Prerequisite: Completion of FOL requirement.","104","{'day': 'Mo', 'end': '11:40', 'location': 'TOH 153', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'TOH 153', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'TOH 153', 'start': '10:45'}","False","Completion of FOL requirement. For additional course info see http://www.stolaf.edu/services/wlc/also.html","A","1","O","20131","Alternative Language Study Option","Topic","2013"
"0000091345","1.0","0000026647","ALSO","Students learn a language such as Arabic, Korean, or Italian in a guided, independent study program offered through the World Languages Center. They meet with a native speaker conversation partner for three hours a week, in addition to ten hours of study on their own and mandatory tutorial sessions. Syllabi and tests are developed and administered in consultation with an expert outside examiner. Students in this program are strongly encouraged to take courses in the general curriculum that provide important cultural context for the study of their language. The language(s) offered in any semester depend(s) on student interest, usually requiring 2-5 students to offer a section. Prerequisite: Completion of FOL requirement. For additional course info see http://www.stolaf.edu/services/wlc/also.html","5","0","1","0","4","","Debska-McWilliams, Renata","{'fsnum': '16720', 'name': 'Debska-McWilliams, Renata'}","100","10","0","","","","Top: Beginning Italian I","Prerequisite: Permission of instructor required to register.                    ;Prerequisite: Completion of FOL requirement.","104","{'day': 'Mo', 'end': '12:45', 'location': 'TOH 153', 'start': '23:50'};{'day': 'We', 'end': '12:45', 'location': 'TOH 153', 'start': '23:50'};{'day': 'Fr', 'end': '12:45', 'location': 'TOH 153', 'start': '23:50'}","False","Completion of FOL requirement. For additional course info see http://www.stolaf.edu/services/wlc/also.html","B","1","O","20131","Alternative Language Study Option","Topic","2013"
"0000092033","1.0","0000026901","ALSO","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","5","","","","","IS/","","298","","False","","","1","O","20131","","Research","2013"
"0000093381","1.0","0000026901","ALSO","","2","0","0","0","2","","Debska-McWilliams, Renata","{'fsnum': '16720', 'name': 'Debska-McWilliams, Renata'}","200","","","","","","IS/Adv Intermed Arabic","","298","","False","","A","1","O","20131","","Research","2013"
"0000093389","1.0","0000026901","ALSO","","0","0","0","0","0","","Staff","{'fsnum': '', 'name': 'Staff'}","200","","","","","","New Course","","298","","False","","B","1","O","20131","","Research","2013"
"0000093390","1.0","0000027643","ALSO","","1","0","0","0","1","","Debska-McWilliams, Renata","{'fsnum': '16720', 'name': 'Debska-McWilliams, Renata'}","300","","","","","","IR/Advanced Arabic","","398","","False","","","1","O","20131","","Research","2013"
"0000088454","1.0","0000000176","AMCON","Spanning two centuries, from the founding of the colonies to the close of the Civil War, this course begins the discussion of questions central to the entire sequence: ""What is an American?"" ""What does it mean to be free?"" Students explore the institutions, images, and stories of Euro-Americans, African Americans, and Native Americans.Topics and texts range from the Declaration of Independence and Thomas Jefferson's architecture to the Narrative of the Life of Frederick Douglass and the coming of the Civil War. Offered annually in the fall semester. Counts towards American studies major.","22","20","0","0","2","","Allister, Mark","{'fsnum': '110', 'name': 'Allister, Mark'}","100","19","","0","0","0","Declaring Ind: 1607-1865","Open to American Conversations students only.","101","{'day': 'Mo', 'end': '13:50', 'location': 'HH 317', 'start': '12:55'};{'day': 'We', 'end': '13:50', 'location': 'HH 317', 'start': '12:55'};{'day': 'Fr', 'end': '13:50', 'location': 'HH 317', 'start': '12:55'}","False","False","A","1","C","20131","Declaring Independence: 1607-1865","Research","2013"
