"clbid","credits","crsid","department","description","enrolled","firstyear","groupid","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000066784","0.25","0000016225","HIST","","6","","","","","Jolene Barjasteh","","S","200","10","FLC - French","","226","","False","False","","1","","","O","20091","","FLAC","2009"
"0000066786","0.25","0000018886","PSCI","","0","","","","","Irina Walter","","S","200","10","FLC - Russian","","282","","False","False","","1","","","O","20091","","FLAC","2009"
"0000066788","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations on these sets. In an axiomatic or abstract treatment one assumes basic properties and then deduces many other properties. Using this method we study structures known as groups, rings, and fields. Prerequisite: Mathematics 220. Offered each semester.","16","","","","","Mike Weimerskirch","","S","200","19","Abstract Algebra I","","252","{'day': 'Mo', 'end': '11:40', 'location': 'SC 186', 'start': '10:45'};{'day': 'We', 'end': '11:40', 'location': 'SC 186', 'start': '10:45'};{'day': 'Fr', 'end': '11:40', 'location': 'SC 186', 'start': '10:45'}","False","Mathematics 220. Offered each semester.","A","1","","","C","20091","","Research","2009"
"0000066789","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations on these sets. In an axiomatic or abstract treatment one assumes basic properties and then deduces many other properties. Using this method we study structures known as groups, rings, and fields. Prerequisite: Mathematics 220. Offered each semester.","15","","","","","Tina Garrett","","S","200","19","Abstract Algebra I","","252","{'day': 'Mo', 'end': '12:45', 'location': 'RNS 206', 'start': '11:50'};{'day': 'We', 'end': '12:45', 'location': 'RNS 206', 'start': '11:50'};{'day': 'Fr', 'end': '12:45', 'location': 'RNS 206', 'start': '11:50'}","False","Mathematics 220. Offered each semester.","B","1","","","C","20091","","Research","2009"
"0000066790","1.0","0000000011","AMST","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","C","20091","Internship","Research","2009"
"0000066791","1.0","0000000014","AMST","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","C","20091","Internship","Research","2009"
"0000066792","1.0","0000000068","ART","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","O","20091","","Research","2009"
"0000066793","1.0","0000000073","ART","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","O","20091","","Research","2009"
"0000066794","0.5","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor, and complete an internship application. Internships do not count toward the biology major requirements.","1","","","","","John Giannini","","S","200","999","Academic Internship","","294","","True","False","","1","","","C","20091","Internship","Research","2009"
"0000066795","1.0","0000000174","BIO","Biology 394 is for students who have completed one internship (Biology 294) and wish to perform a second internship. Students interested in an internship should consult with the Center for Experiential Learning, locate a faculty sponsor, and complete an internship form.","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","C","20091","Internship","Research","2009"
"0000066796","1.0","0000000204","CHEM","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","C","20091","Internship","Research","2009"
"0000066797","1.0","0000000222","CHEM","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","C","20091","Internship","Research","2009"
"0000066798","1.0","0000000233","CLASS","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","C","20091","","Research","2009"
"0000066799","1.0","0000000235","CLASS","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","C","20091","","Research","2009"
"0000066800","1.0","0000000248","CHIN","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","C","20091","","Research","2009"
"0000066801","1.0","0000000251","CHIN","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","C","20091","","Research","2009"
"0000066802","1.0","0000000276","ECON","","1","","","","","Paul Wojick","","S","200","999","Academic Internship","","294","","True","False","","1","","","C","20091","","Research","2009"
"0000066803","1.0","0000000284","ECON","Academic Internship.","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","C","20091","","Research","2009"
"0000066804","1.0","0000000299","CSCI","This is an intermediate-level version of Computer Science 394.","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","C","20091","Internship","Research","2009"
"0000066805","1.0","0000000306","CSCI","Students gain experience in computer-industry positions. Projects have included implementation of solid modeling (NURBS), documentation, business applications of computing, applications of computer graphics in medical research, team programming. Internship experiences (whether for credit or not) are strongly encouraged for anyone considering a career in computing.","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","C","20091","Internship","Research","2009"
"0000066806","0.5","0000000313","EDUC","","0","0/0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","0/0","C","20091","","Research","2009"
"0000066807","0.5","0000000344","EDUC","","1","0/0","","","","Heather Campbell","","S","300","999","Academic Internship","","394","","True","False","","1","","0/0","O","20091","Internship","Research","2009"
"0000066808","1.0","0000000433","ENGL","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","1","","","C","20091","Internship","Research","2009"
"0000066809","1.0","0000000449","ENGL","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","1","","","C","20091","Internship","Research","2009"
