"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","max_fy","max_jr","max_so","max_sr","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000011303","1.0","0000000011","AMST","","1","0","1","0","0","","Farrell, James","{'fsnum': '2030', 'name': 'Farrell, James'}","200","","","","","","Academic Internship","","294","","True","","","2","O","20052","Internship","Research","2005"
"0000049444","1.0","0000001487","ARMS","","1","0","1","0","0","","Chiappari, Chris L.","{'fsnum': '10036', 'name': 'Chiappari, Chris L.'}","200","0","0","0","0","0","IS/Contemp Chicanas","","298","","False","","","2","C","20052","","Research","2005"
"0000011304","1.0","0000000018","ART","This course introduces fundamental technical and perceptual skills of drawing, including the basic elements of mark, line, value, texture, form, space and their dynamics in composition. By translating observed subjects onto two-dimensional surfaces, students explore drawing as a means to self-expression, as a springboard to understanding how ideas are given visible form and as a cornerstone of artistic practice. Lab fee.","21","13","0","5","3","ALS-A","Evans, Jil","{'fsnum': '14958', 'name': 'Evans, Jil'}","100","21","","","","","Foundation Drawing","","110","{'day': 'Mo', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 216', 'start': '13:00'};{'day': 'Mo', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 216', 'start': '09:00'};{'day': 'Mo', 'end': '12:10', 'location': 'CAD 216', 'start': '22:40'};{'day': 'Tu', 'end': '12:10', 'location': 'CAD 216', 'start': '22:40'};{'day': 'We', 'end': '12:10', 'location': 'CAD 216', 'start': '22:40'};{'day': 'Th', 'end': '12:10', 'location': 'CAD 216', 'start': '22:40'};{'day': 'Fr', 'end': '12:10', 'location': 'CAD 216', 'start': '22:40'}","False","False","","2","C","20052","Foundation Perceptual and Conceptual Drawing","Research","2005"
"0000047711","1.0","0000000044","ART","This course, designed for students who want to heighten their drawing skills, emphasizes using expressive qualities of drawing by investigating various media, techniques and content. Assignments are both traditional and nontraditional within historical perspectives. Experimentation is encouraged. Developing a personal visual language is stressed, culminating in the production of a series of drawings that relate thematically. Critical thinking and discussion skills are important. Prerequisites: Art 111 and 112 (or 120), and 113. Lab fee. Offered annually.","16","3","3","2","8","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","22","","","","","Advanced Drawing","","233","{'day': 'Mo', 'end': '15:00', 'location': 'CAD 214', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 214', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 214', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 214', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 214', 'start': '13:00'};{'day': 'Mo', 'end': '10:00', 'location': 'CAD 214', 'start': '09:00'};{'day': 'Tu', 'end': '10:00', 'location': 'CAD 214', 'start': '09:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 214', 'start': '09:00'};{'day': 'Th', 'end': '10:00', 'location': 'CAD 214', 'start': '09:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 214', 'start': '09:00'};{'day': 'Mo', 'end': '12:10', 'location': 'CAD 214', 'start': '22:40'};{'day': 'Tu', 'end': '12:10', 'location': 'CAD 214', 'start': '22:40'};{'day': 'We', 'end': '12:10', 'location': 'CAD 214', 'start': '22:40'};{'day': 'Th', 'end': '12:10', 'location': 'CAD 214', 'start': '22:40'};{'day': 'Fr', 'end': '12:10', 'location': 'CAD 214', 'start': '22:40'}","False","Prerequisites: Art 111 and 112 (or 120), and 113. Lab fee. Offered annually.","","2","O","20052","","Research","2005"
"0000011305","1.0","0000000048","ART","This course provides intensive exposure to career opportunities in the field of art including advertising, graphics, illustration, film, television, computer graphics, architecture, textile design and fine art (painting, sculpture, etc.). Working five to seven hours a day, students interview over 25 artists/designers during the month, visit more than 100 galleries and museums and write extensively about artists and artwork. This course does not count toward the minimum major in studio art or art history. Prerequisites: Art 253 (preferred) or Art 252. Offered Interim only.","18","0","3","3","12","","Ojala, Margaret","{'fsnum': '5816', 'name': 'Ojala, Margaret'}","200","18","","","","","Manhattan Art Interim","","246","","False","Prerequisites: Art 253 (preferred) or Art 252. Offered Interim only.","","2","C","20052","Manhattan Interim in New York City","Research","2005"
"0000011306","1.0","0000000052","ART","This course is an introduction to postmodern art and thought through a survey of painting, sculpture, architecture, and new-media arts produced mostly in the United States since the Cold War era. Students learn about celebrated art and artists, major values informing their work, and ways of analyzing and making sense of newer art.","29","2","9","12","6","ALS-A;HWC","Rohn, Matthew","{'fsnum': '6758', 'name': 'Rohn, Matthew'}","200","34","","","","","Art Since 1950","","253","{'day': 'Mo', 'end': '10:00', 'location': 'CAD 305', 'start': '08:00'};{'day': 'Tu', 'end': '10:00', 'location': 'CAD 305', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'CAD 305', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'CAD 305', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'CAD 305', 'start': '08:00'}","False","False","","2","C","20052","","Research","2005"
"0000011307","1.0","0000000054","ART","There is no substitute for direct, personal experience. In Italy, students study Renaissance and Medieval paintings, sculptures and buildings in context. Students examine the works that went before the Renaissance and the ones which came afterwards to work out for themselves what made Italian art special and what value it has for us today.","20","0","3","8","9","ALS-A","Thompson, Nancy M.","{'fsnum': '13137', 'name': 'Thompson, Nancy M.'}","200","20","","","","","Ital Art in Context","","255","","False","False","","2","C","20052","Italian Art in Context","Research","2005"
"0000011308","1.0","0000000062","ART","This course is an introductory exploration of Scandinavian visual arts and the cultural and historical forces related to them. The span of time, specific cultures covered and art forms studied varies depending upon the instructor.","19","6","3","5","5","ALS-A","Holden, Kristi","{'fsnum': '12373', 'name': 'Holden, Kristi'}","200","35","","","","","Arts of Scandinavia","","266","{'day': 'Mo', 'end': '15:00', 'location': 'CAD 305', 'start': '13:00'};{'day': 'Tu', 'end': '15:00', 'location': 'CAD 305', 'start': '13:00'};{'day': 'We', 'end': '15:00', 'location': 'CAD 305', 'start': '13:00'};{'day': 'Th', 'end': '15:00', 'location': 'CAD 305', 'start': '13:00'};{'day': 'Fr', 'end': '15:00', 'location': 'CAD 305', 'start': '13:00'}","False","False","","2","O","20052","","Research","2005"
"0000011309","1.0","0000000068","ART","","3","0","0","0","3","","Arneson, Wendell","{'fsnum': '276', 'name': 'Arneson, Wendell'}","200","","","","","","Academic Internship","","294","","True","","","2","O","20052","","Research","2005"
"0000049763","1.0","0000000068","ART","","1","0","0","0","1","","Edwins, Steven","{'fsnum': '1564', 'name': 'Edwins, Steven'}","200","","","","","","Academic Internship","","294","","True","","A","2","O","20052","","Research","2005"
