"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000109837","1.0","0000020055","ART","This foundation-level studio course introduces the aesthetic, conceptual, and technical foundations of new media art-making. Students explore creative approaches to digital, time-based, and interactive art processes; examples include digital photo-montage, 3D printing, video art, and web-based art. Idea generation and development is central to the course, with an emphasis on experimentation and divergent thinking. Students engage in dynamic activity, spirited investigation, and thoughtful creative expression. Materials fee. Offered each semester. Counts toward film studies and media studies concentrations.","0","0","0","0","0","ALS-A","Nelson, Peter B.","{'fsnum': '13653', 'name': 'Nelson, Peter B.'}","100","","Foundation New Media","This course has been canceled.","104","{'day': 'Mo', 'end': '09:30', 'location': 'CAD 116', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'CAD 116', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'CAD 116', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'CAD 116', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'CAD 116', 'start': '08:00'}","False","False","","4","X","20154","","Research","2015"
"0000109543","1.0","0000000114","BIO","Why do biologists do what they do? How is biology actually done? Students investigate the reasons biological science is done the way it is today. Students have the opportunity to design and perform their own experiments while learning the process of scientific investigation. Designed primarily for non-majors. Offered during Interim.","17","5","5","5","2","IST;NSC;NSL;SED","Giannini, John","{'fsnum': '2593', 'name': 'Giannini, John'}","100","","Thinking & Doing Bio","Term dates for this course: June 6 - July 1.","135","{'day': 'Mo', 'end': '12:00', 'location': 'RNS 290', 'start': '21:00'};{'day': 'Tu', 'end': '12:00', 'location': 'RNS 290', 'start': '21:00'};{'day': 'We', 'end': '12:00', 'location': 'RNS 290', 'start': '21:00'};{'day': 'Th', 'end': '12:00', 'location': 'RNS 290', 'start': '21:00'};{'day': 'Fr', 'end': '12:00', 'location': 'RNS 290', 'start': '21:00'}","False","False","","4","O","20154","Thinking and Doing Biology","Research","2015"
"0000109544","","0000000115","BIO","","17","5","5","5","2","","Giannini, John","{'fsnum': '2593', 'name': 'Giannini, John'}","100","","Thinking & Doing Bio Lab","Lab times are integrated into course schedule.","135","","False","","","4","O","20154","","Lab","2015"
"0000109840","1.0","0000000122","BIO","Genetics examines relationships between genotype and phenotype in prokaryotic and eukaryotic organisms from classical and molecular perspectives. Lectures in this core course cover ideas and technologies contributing to understanding mechanisms of gene transmission and regulation. Laboratories utilize model organisms to investigate classical and molecular modes of inheritance. Students attend lectures plus one three-hour laboratory per week. Offered each semester. Counts as ""genetics"" core category. Counts toward mathematical biology, neuroscience, and biomolecular studies concentrations. Prerequisites: BIO 150, and CHEM 125 or CHEM 121/CHEM 123 or CH/BI 125; or BIO 125 and CHEM 125 or CHEM 121/CHEM 123 or CH/BI 125.","0","0","0","0","0","","Porterfield, Jean C.;Kandl, Kim A.;Fruehling, Sara E.","{'fsnum': '14015', 'name': 'Porterfield, Jean C.'};{'fsnum': '13100', 'name': 'Kandl, Kim A.'};{'fsnum': '17588', 'name': 'Fruehling, Sara E.'}","200","","Intermediate Genetics","","233","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 435', 'start': '08:30'};{'day': 'We', 'end': '11:30', 'location': 'RNS 435', 'start': '08:30'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 435', 'start': '08:30'}","False","Prerequisites: BIO 150, and CHEM 125 or CHEM 121/CHEM 123 or CH/BI 125; or BIO 125 and CHEM 125 or CHEM 121/CHEM 123 or CH/BI 125.","","4","X","20154","","Research","2015"
"0000109841","","0000000123","BIO","","0","0","0","0","0","","Porterfield, Jean C.;Kandl, Kim A.;Fruehling, Sara E.","{'fsnum': '14015', 'name': 'Porterfield, Jean C.'};{'fsnum': '13100', 'name': 'Kandl, Kim A.'};{'fsnum': '17588', 'name': 'Fruehling, Sara E.'}","200","","Intermediate Genetics Lab","","233","{'day': 'Tu', 'end': '11:30', 'location': 'RNS 394', 'start': '08:30'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 394', 'start': '08:30'}","False","","","4","X","20154","","Lab","2015"
"0000110411","1.0","0000000154","BIO","Independent study allows students to study in an area not covered in the regular biology course offerings. The student undertakes substantial independent study in a defined biological field, meets regularly with faculty supervisor, and prepares some form of presentation of the material learned. The student must obtain permission of supervisor and complete an independent study form available from the Registrar's Office or its Web site.","1","0","0","0","1","WRI","Mohl, Emily","{'fsnum': '25351', 'name': 'Mohl, Emily'}","200","","IS/Curriculum Dev. Authentic Exp.","","298","","False","False","","4","O","20154","Independent Study","Research","2015"
"0000109547","1.0","0000000192","CHEM","This study of chemical stoichiometry, equilibrium, acid-base chemistry, coordination chemistry, and atomic and molecular structure supplies the fundamental background on which all later chemistry courses depend. It includes applications of equilibrium principles to acid-base chemistry. Students attend three classes and one three-hour laboratory each week. Offered annually in the fall semester. Counts toward biomolecular science concentration. Prerequisites: high school chemistry and physics. Students planning to continue in chemistry should consider concurrent registration in MATH 119 or MATH 120. Placement via online placement exam is required. The course cannot be taken in conjunction with or after credit in CHEM 121.","10","4","2","4","0","NSC;NSL;SED","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Struct Chem & Equilib","","125","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 310', 'start': '10:00'}","False","Prerequisites: high school chemistry and physics. Students planning to continue in chemistry should consider concurrent registration in MATH 119 or MATH 120. Placement via online placement exam is required. The course cannot be taken in conjunction with or after credit in CHEM 121.","","4","O","20154","Structural Chemistry and Equilibrium","Research","2015"
"0000109548","","0000000193","CHEM","","8","3","2","3","0","","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","","Struct Chem & Equilib Lab","","125","{'day': 'Mo', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'RNS 355', 'start': '13:00'}","False","","","4","O","20154","","Lab","2015"
"0000109549","1.0","0000000196","CHEM","Organic chemistry is the study of compounds containing carbon, emphasizing the structures and mechanisms of reaction of these molecules. This course focuses on structure, nomenclature, and reactions of aliphatic and alicyclic compounds, including aspects of stereochemistry and spectroscopic identification of organic compounds. A full treatment of introductory organic chemistry requires subsequent enrollment in CHEM 248. Offered annually in the fall semester. Counts toward biomolecular science concentration. Prerequisite: CHEM 126, or CH/BI 227, or permission of instructor.","28","8","2","12","6","NSC","Marlier, Elodie","{'fsnum': '22843', 'name': 'Marlier, Elodie'}","200","35","Organic Chemistry I","","247","{'day': 'Mo', 'end': '11:30', 'location': 'RNS 390', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'RNS 390', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'RNS 390', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'RNS 390', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'RNS 390', 'start': '10:00'}","False","CHEM 126, or CH/BI 227, or permission of instructor.","","4","O","20154","","Research","2015"
"0000109550","0.25","0000000199","CHEM","This laboratory course introduces students to the synthesis and characterization of organic,organometallic and inorganic compounds and serves as a general introduction to green chemistry. Students purify the materials they produce by techniques such as chromatography and characterize them using optical rotation measurements, infrared spectroscopy, and nuclear magnetic resonance spectroscopy. Students attend one three-hour laboratory each week. P/N only. Offered annually in the fall semester. Counts toward biomolecular science concentration. Prerequisite: previous or concurrent registration in CHEM 247.","12","4","0","6","2","","Marlier, Elodie","{'fsnum': '22843', 'name': 'Marlier, Elodie'}","200","24","Synthesis Lab I","","253","{'day': 'Mo', 'end': '15:30', 'location': 'RNS 340', 'start': '12:30'};{'day': 'We', 'end': '15:30', 'location': 'RNS 340', 'start': '12:30'}","True","previous or concurrent registration in CHEM 247.","A","4","C","20154","Synthesis Laboratory I","Lab","2015"
