"clbid","credits","crsid","department","description","enrolled","firstyear","groupid","grouptype","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000094989","1.0","0000000190","CHEM","Students study contemporary questions concerning the environment from the fundamental properties of matter to human impact on natural processes, including damage to and protection of the environment. Students discover how chemistry intersects with everyday living, especially the abilities and limitations of science to address environmental issues. Laboratory work explores the characteristics and analysis of hazardous and beneficial materials. Counts toward environmental studies major and concentration; does not count toward chemistry major. Offered during Interim.","20","","0000000190","","George K. Anquandah","","S","100","24","A Matter of Environ","Students in Chemistry 124 must also register for lab Chemistry 124 L.","124","{'day': 'Mo', 'end': '10:00', 'location': 'RNS 410', 'start': '08:00'};{'day': 'Tu', 'end': '10:00', 'location': 'RNS 410', 'start': '08:00'};{'day': 'We', 'end': '10:00', 'location': 'RNS 410', 'start': '08:00'};{'day': 'Th', 'end': '10:00', 'location': 'RNS 410', 'start': '08:00'};{'day': 'Fr', 'end': '10:00', 'location': 'RNS 410', 'start': '08:00'}","False","False","","2","","","C","20142","A Matter of the Environment with Lab","Research","2014"
"0000094990","0.0","0000000191","CHEM","","20","","0000000190","","George K. Anquandah","","S","100","24","A Matter of Environ Lab","","124","{'day': 'Tu', 'end': '15:30', 'location': 'RNS 454', 'start': '12:30'};{'day': 'We', 'end': '15:30', 'location': 'RNS 454', 'start': '12:30'};{'day': 'Th', 'end': '15:30', 'location': 'RNS 454', 'start': '12:30'}","False","False","","2","","","C","20142","","Lab","2014"
"0000094991","1.0","0000000011","AMST","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20142","Internship","Research","2014"
"0000094992","1.0","0000000068","ART","","1","","","","Karil J. Kucera","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20142","","Research","2014"
"0000094993","1.0","0000000073","ART","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20142","","Research","2014"
"0000094994","1.0","0000000093","ASIAN","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20142","","Research","2014"
"0000094995","1.0","0000000096","ASIAN","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20142","","Research","2014"
"0000094996","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","4","","","","Jean C. Porterfield","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20142","Internship","Research","2014"
"0000094997","1.0","0000000174","BIO","Biology 394 is for students who have completed one internship (BIO 294) and wish to complete a second internship. Students interested in an internship should consult with the Piper Center for Vocation and Career, locate a faculty supervisor, and complete an internship form. Internships do not count toward the biology major requirements.","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20142","Internship","Research","2014"
"0000094998","1.0","0000000204","CHEM","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20142","Internship","Research","2014"
"0000094999","1.0","0000000222","CHEM","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20142","Internship","Research","2014"
"0000095000","1.0","0000000233","CLASS","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20142","","Research","2014"
"0000095001","1.0","0000000235","CLASS","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20142","","Research","2014"
"0000095002","1.0","0000000248","CHIN","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20142","","Research","2014"
"0000095003","1.0","0000000251","CHIN","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20142","","Research","2014"
"0000095004","1.0","0000000276","ECON","","1","","","","Xun Pomponio","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20142","","Research","2014"
"0000095005","1.0","0000000284","ECON","Academic Internship.","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20142","","Research","2014"
"0000095006","1.0","0000000299","CSCI","This is an intermediate-level version of CSCI 394.","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20142","Internship","Research","2014"
"0000095007","1.0","0000000306","CSCI","Students gain experience in computer-industry positions. Projects have included contributions to team programming, implementation of solid modeling (NURBS), documentation, business applications of computing, and applications of computer graphics in medical research. Internship experiences (whether for credit or not) are strongly encouraged for anyone considering a career in computing.","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20142","Internship","Research","2014"
"0000095008","1.0","0000000313","EDUC","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20142","","Research","2014"
"0000095009","1.0","0000000344","EDUC","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20142","Internship","Research","2014"
"0000095010","1.0","0000000374","DANCE","","1","","","","Anne von Bibra","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20142","Internship","Research","2014"
"0000095011","1.0","0000000377","DANCE","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20142","Internship","Research","2014"
"0000095012","1.0","0000000433","ENGL","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20142","Internship","Research","2014"
"0000095013","1.0","0000000449","ENGL","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20142","Internship","Research","2014"
"0000095014","1.0","0000000464","ENVST","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20142","Internship","Research","2014"
"0000095015","1.0","0000000466","ENVST","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20142","Internship","Research","2014"
"0000095016","1.0","0000000490","FREN","","0","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","2","","","C","20142","","Research","2014"
"0000095017","1.0","0000000494","FREN","","0","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","2","","","C","20142","","Research","2014"
