"clbid","credits","crsid","department","description","enrolled","firstyear","groupid","grouptype","halfcredit","instructors","junior","learningmode","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","senior","sophomore","status","term","title","type","year"
"0000078812","0.25","0000016218","SOAN","","7","","","","","Christopher L. Chiappari","","S","200","10","FLC-Spanish","","237","","False","False","","3","","","O","20113","","FLAC","2011"
"0000078813","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations that satisfy a few basic properties. Using the properties we study axiomatic systems such as groups, rings, and fields, covering topics such as homomorphisms, cosets, quotient structures, polynomial rings, and finite fields. Emphasis is on theory and on developing the ability to write proofs. Prerequisite: Mathematics 220. Offered each semester.","18","","","","","Jill Dietz","","S","200","22","Abstract Algebra I","","252","{'day': 'Tu', 'end': '13:10', 'location': 'TOH 184', 'start': '11:45'};{'day': 'Th', 'end': '14:05', 'location': 'TOH 184', 'start': '12:45'}","False","Mathematics 220. Offered each semester.","A","3","","","C","20113","","Research","2011"
"0000078814","1.0","0000000747","MATH","Algebra is concerned with sets of objects and operations that satisfy a few basic properties. Using the properties we study axiomatic systems such as groups, rings, and fields, covering topics such as homomorphisms, cosets, quotient structures, polynomial rings, and finite fields. Emphasis is on theory and on developing the ability to write proofs. Prerequisite: Mathematics 220. Offered each semester.","17","","","","","Kay E. Smith","","S","200","22","Abstract Algebra I","","252","{'day': 'Mo', 'end': '10:00', 'location': 'TOH 186', 'start': '09:05'};{'day': 'We', 'end': '10:00', 'location': 'TOH 186', 'start': '09:05'};{'day': 'Fr', 'end': '10:00', 'location': 'TOH 186', 'start': '09:05'}","False","Mathematics 220. Offered each semester.","B","3","","","O","20113","","Research","2011"
"0000078816","1.0","0000000011","AMST","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20113","Internship","Research","2011"
"0000078817","1.0","0000000068","ART","","3","","","","","Irve Dell","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20113","","Research","2011"
"0000078818","1.0","0000000073","ART","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20113","","Research","2011"
"0000078819","1.0","0000000093","ASIAN","","0","","","","","Staff","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20113","","Research","2011"
"0000078820","1.0","0000000096","ASIAN","","0","","","","","Staff","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20113","","Research","2011"
"0000078821","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","1","","","","","Michael Swift","","S","200","999","Academic Internship","","294","","True","False","","3","","","C","20113","Internship","Research","2011"
"0000078822","1.0","0000000174","BIO","Biology 394 is for students who have completed one internship (Biology 294) and wish to complete a second internship. Students interested in an internship should consult with the Center for Experiential Learning, locate a faculty supervisor, and complete an internship form.","0","","","","","Cindy Book","","S","300","999","Academic Internship","","394","","True","False","","3","","","C","20113","Internship","Research","2011"
