"clbid","credits","crsid","department","description","enrolled","enrollment_fy","enrollment_jr","enrollment_so","enrollment_sr","gereqs","instructors","instructors_full","level","max","name","notes","number","offerings","pn","prerequisites","section","semester","status","term","title","type","year"
"0000065113","1.0","0000000031","ART","This introduction to art history examines select artistic traditions among ancient and medieval cultures of Asia and Europe. Through lectures, discussions, and presentations, students develop skills in visual analysis and interpretation, as well as a broad historical exposure to a variety of major historical periods. The course considers a variety of artistic media, including painting, sculpture, and architecture, in addition to broader issues of aesthetics, function, and patronage. Offered annually.","0","0","0","0","0","ALS-A;MCG;MCS-G","O'Malley, Christine","{'fsnum': '18422', 'name': ""O'Malley, Christine""}","100","","Intro/Art History I","","150","{'day': 'Mo', 'end': '09:30', 'location': 'CAD 204', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'CAD 204', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'CAD 204', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'CAD 204', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'CAD 204', 'start': '08:00'}","False","False","","5","X","20075","Introduction to Art History I","Research","2007"
"0000064990","0.5","0000000093","ASIAN","","1","0","0","1","0","","Chen, Luying","{'fsnum': '19296', 'name': 'Chen, Luying'}","200","","Academic Internship","","294","","True","","","5","O","20075","","Research","2007"
"0000065217","0.5","0000000093","ASIAN","","3","0","1","1","1","","MacPherson, Kristina","{'fsnum': '3550', 'name': 'MacPherson, Kristina'}","200","","Academic Internship","","294","","True","","A","5","O","20075","","Research","2007"
"0000066084","1.0","0000000100","BIO","Contemporary biological issues related to health and the environment are explored, with the goal of fostering informed citizens prepared for current biological debates. Students learn the relevant biological principles in lecture and lab followed by appropriate lab or field research. Specific topics vary from year to year and may include emerging diseases, cardiovascular health, genetics, specific groups of organisms, behavior, and environmental dynamics. The course includes lectures plus one 2-hour laboratory per week.","40","5","18","0","17","IST;NSC;NSL;SED","Walter, Anne;McDonald, Eric;Swift, Michael","{'fsnum': '8876', 'name': 'Walter, Anne'};{'fsnum': '18464', 'name': 'McDonald, Eric'};{'fsnum': '8210', 'name': 'Swift, Michael'}","100","","Biological Science","","121","","False","False","","5","O","20075","Biological Science: Issues in Biology","Research","2007"
"0000066085","","0000000101","BIO","","40","5","0","0","35","","Walter, Anne;McDonald, Eric;Swift, Michael","{'fsnum': '8876', 'name': 'Walter, Anne'};{'fsnum': '18464', 'name': 'McDonald, Eric'};{'fsnum': '8210', 'name': 'Swift, Michael'}","100","","Biological Science Lab","","121","","False","","","5","O","20075","","Lab","2007"
"0000064898","0.5","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor, and complete an internship application.","1","0","0","1","0","","Kermott, Louis Henry","{'fsnum': '4284', 'name': 'Kermott, Louis Henry'}","200","","Academic Internship","","294","","True","False","","5","O","20075","Internship","Research","2007"
"0000064984","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor, and complete an internship application.","1","0","1","0","0","","Bakko, Eugene","{'fsnum': '325', 'name': 'Bakko, Eugene'}","200","","Academic Internship","","294","","True","False","A","5","O","20075","Internship","Research","2007"
"0000064994","1.0","0000000153","BIO","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor, and complete an internship application.","1","0","1","0","0","","Walter, Anne","{'fsnum': '8876', 'name': 'Walter, Anne'}","200","","Academic Internship","","294","","True","False","B","5","O","20075","Internship","Research","2007"
"0000064276","1.0","0000000194","CHEM","This course provides a sequential introduction to physical chemistry. Beginning with an introduction to statistical aspects of chemical equilibria, it explores the relationships between energy, entropy and equilibria (thermodynamics); oxidation-reduction reactions and electrochemistry; transitions between phases; and rates of reactions. Students attend three classes and one 3-hour laboratory per week. Prerequisite: Chemistry 125, or 121 and 123 and Mathematics 120 or 121 or permission of instructor. Offered Spring Semester.","18","5","1","6","6","NSC;NSL;SED","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","24","Chemical Reactions","","126","{'day': 'Mo', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 374', 'start': '10:00'}","False","Chemistry 125, or 121 and 123 and Mathematics 120 or 121 or permission of instructor. Offered Spring Semester.","","5","O","20075","Energies and Rates of Chemical Reactions","Research","2007"
"0000064277","","0000000195","CHEM","","19","5","1","7","6","","Riley, Patrick N.","{'fsnum': '14194', 'name': 'Riley, Patrick N.'}","100","24","Chemical Reactions Lab","","126","{'day': 'Mo', 'end': '16:00', 'location': 'SC 371', 'start': '13:00'};{'day': 'We', 'end': '16:00', 'location': 'SC 371', 'start': '13:00'}","False","","","5","O","20075","","Lab","2007"
